Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
250,17.8834,30.2120,4.0058,351.9746,-3.9666,-0.5593,0.4079
245,19.0789,29.5427,3.0138,330.9710,-2.6351,-1.4624,0.4682
240,20.2631,28.8353,3.0252,329.5708,-2.6085,-1.5322,0.4682
235,22.3127,27.8251,5.0215,334.3296,-4.5258,-2.1753,0.5574
230,24.3250,26.7171,5.0204,332.1357,-4.4383,-2.3464,0.5574
225,27.3047,25.3776,7.1569,336.6723,-6.5718,-2.8340,0.7572
220,30.2220,23.8389,7.1558,333.8123,-6.4213,-3.1579,0.7572
215,31.4150,23.5116,2.7288,346.4532,-2.6529,-0.6392,0.2586
210,32.6044,23.1627,2.7287,345.7321,-2.6445,-0.6725,0.2586
205,33.5746,23.9474,2.6092,34.6471,-2.1465,1.4834,0.2654
200,34.5340,24.7594,2.6089,35.5799,-2.1218,1.5179,0.2654
195,35.1143,25.5304,1.9117,48.3568,-1.2703,1.4286,0.3128
190,35.6830,26.3247,1.9187,49.5919,-1.2437,1.4610,0.3128
185,35.5610,27.7532,2.5996,97.3764,0.3338,2.5780,0.4519
180,35.3976,29.1799,2.6121,99.3854,0.4260,2.5772,0.4521
175,34.5025,30.8806,3.6885,124.3552,2.0815,3.0450,0.5717
170,33.5454,32.5206,3.7013,126.7711,2.2157,2.9649,0.5719
165,32.9836,33.0729,1.6193,141.4166,1.2658,1.0099,0.3092
160,31.9546,33.3801,2.3627,167.7407,2.3088,0.5017,0.7496
155,29.5988,34.6626,5.7920,157.7841,5.3620,2.1899,1.1359
150,28.1430,35.6507,3.7712,151.3835,3.3106,1.8062,0.8210
145,30.1317,35.1438,4.5361,347.7252,-4.4324,-0.9644,0.4378
140,31.5557,34.9706,3.1878,354.4817,-3.1730,-0.3065,0.3466
135,32.9662,34.2030,3.4568,335.4602,-3.1446,-1.4357,0.3454
130,34.3226,33.4292,3.3430,334.8207,-3.0254,-1.4223,0.3478
125,35.5144,33.1990,2.6866,351.2641,-2.6554,-0.4080,0.2748
120,36.7665,32.6843,2.9373,342.3141,-2.7985,-0.8923,0.4243
115,37.1130,30.9103,3.2498,284.3484,-0.8054,-3.1485,0.5455
110,37.4079,29.1049,3.2660,282.1987,-0.6901,-3.1922,0.5452
105,37.9945,26.4362,4.8791,285.4331,-1.2984,-4.7032,0.5256
100,38.4494,23.7027,4.8871,281.8325,-1.0021,-4.7833,0.5249
95,38.2706,21.2380,4.3212,264.8231,0.3899,-4.3036,0.5227
90,37.9887,18.7901,4.3327,261.7892,0.6188,-4.2883,0.5224
85,37.1292,16.9779,3.7273,239.6989,1.8806,-3.2181,0.5664
80,36.5124,15.8285,2.4662,236.1540,1.3736,-2.0483,0.2581
75,36.1591,15.3805,1.1245,226.0346,0.7806,-0.8094,0.2437
70,35.6479,14.8131,1.5305,222.4492,1.1293,-1.0330,0.2982
65,35.5524,13.4914,2.4021,264.4624,0.2318,-2.3909,0.2180
60,35.6269,12.1081,2.5098,272.9800,-0.1305,-2.5064,0.2775
55,35.8929,11.3409,1.5073,292.8388,-0.5850,-1.3891,0.1383
50,36.0919,10.6310,1.3534,289.2071,-0.4452,-1.2781,0.1729
45,36.1909,9.8579,1.4073,279.0514,-0.2214,-1.3898,0.1651
40,36.1770,9.0962,1.3692,268.7377,0.0302,-1.3689,0.1604
35,37.9037,7.8797,4.4104,330.3122,-3.8315,-2.1844,0.3964
30,39.6818,6.4540,4.6681,327.4232,-3.9337,-2.5134,0.4223
25,40.2280,6.0959,1.3609,333.4729,-1.2176,-0.6078,0.1624
20,40.7559,5.7136,1.3418,331.2931,-1.1769,-0.6445,0.1591
15,41.2193,6.3646,1.5037,47.2237,-1.0212,1.1037,0.1887
10,41.6525,7.0025,1.4366,48.3720,-0.9543,1.0738,0.1856
5,43.9959,7.2907,5.2384,5.4914,-5.2144,0.5013,0.4802
0,46.3267,7.5896,5.2105,5.5151,-5.1864,0.5008,0.4779
