Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
250,-3.6443,-14.4039,1.3357,17.4632,-1.2741,0.4008,0.4079
245,-4.1905,-14.2446,1.2666,162.6348,1.2089,0.3780,0.4682
240,-4.7151,-14.0524,1.2434,158.7900,1.1592,0.4499,0.4682
235,-4.4616,-14.1132,0.5804,345.1805,-0.5610,-0.1484,0.5574
230,-4.2146,-14.1895,0.5754,341.5007,-0.5457,-0.1826,0.5574
225,-3.4416,-14.1556,1.7229,0.6476,-1.7228,0.0195,0.7572
220,-2.6727,-14.1766,1.7127,356.5859,-1.7097,-0.1020,0.7572
215,-2.0361,-14.1606,1.4179,0.8764,-1.4177,0.0217,0.2586
210,-1.4007,-14.1592,1.4146,359.5659,-1.4146,-0.0107,0.2586
205,-0.0946,-13.9498,2.9449,9.1568,-2.9074,0.4686,0.2654
200,1.2116,-13.7404,2.9453,9.1655,-2.9077,0.4691,0.2654
195,2.5659,-14.1000,3.1197,345.5568,-3.0211,-0.7781,0.3283
190,3.9312,-14.4444,3.1347,346.2776,-3.0452,-0.7436,0.3283
185,5.3385,-14.6422,3.1638,352.9524,-3.1399,-0.3882,0.4700
180,6.7684,-14.7898,3.2004,355.0594,-3.1885,-0.2756,0.4700
175,8.0601,-14.8078,2.8763,0.5341,-2.8762,0.0268,0.5904
170,9.3755,-14.7505,2.9315,3.7940,-2.9251,0.1940,0.5904
165,10.0579,-15.0375,1.6449,338.2064,-1.5273,-0.6107,0.3335
160,11.8091,-16.3527,4.8447,325.0832,-3.9726,-2.7730,0.7792
155,14.1602,-17.0100,5.4272,347.3200,-5.2949,-1.1913,1.1608
150,16.2506,-17.2835,4.6918,354.6000,-4.6710,-0.4415,0.8454
145,17.8861,-18.6129,4.6113,321.4937,-3.6085,-2.8710,0.4534
140,19.3956,-19.6346,3.9925,326.9757,-3.3474,-2.1759,0.3662
135,20.5016,-21.1018,3.9359,308.2244,-2.4353,-3.0920,0.3676
130,21.6283,-22.6331,4.0514,307.7864,-2.4824,-3.2018,0.3719
125,22.6976,-23.6324,3.1485,318.7349,-2.3666,-2.0765,0.2939
120,24.3453,-25.3128,5.0222,316.6812,-3.6539,-3.4455,0.4529
115,25.3388,-27.8666,5.6139,293.3451,-2.2246,-5.1543,0.5729
110,26.2827,-30.4296,5.5501,292.3963,-2.1146,-5.1314,0.5735
105,26.4239,-33.4181,5.9704,272.7113,-0.2824,-5.9637,0.5551
100,26.4479,-36.3844,5.9137,270.2595,-0.0268,-5.9137,0.5551
95,26.4767,-39.0098,5.2330,270.8545,-0.0780,-5.2325,0.5549
90,26.4637,-41.5777,5.1180,269.8797,0.0107,-5.1180,0.5549
85,26.8249,-43.6474,4.1966,281.7389,-0.8538,-4.1088,0.5969
80,26.7499,-45.6213,3.9268,268.1914,0.1239,-3.9249,0.5551
75,27.3842,-47.4757,3.9385,291.4628,-1.4411,-3.6654,0.4976
70,28.0295,-49.3103,3.8911,292.1252,-1.4655,-3.6045,0.4976
65,27.4032,-51.5001,4.5356,251.9113,1.4083,-4.3115,0.4274
60,26.2978,-53.5861,4.8191,238.8903,2.4899,-4.1261,0.4337
55,25.8149,-55.5954,4.1602,254.6114,1.1040,-4.0110,0.3739
50,24.9758,-58.0521,5.2823,248.5276,1.9336,-4.9156,0.4840
45,24.5066,-60.2648,4.5942,256.4057,1.0799,-4.4655,0.4127
40,24.3666,-62.2820,4.1007,265.4403,0.3260,-4.0877,0.3784
35,24.1720,-65.1334,5.8035,264.5124,0.5550,-5.7770,0.5774
30,23.7095,-67.8366,5.5962,258.1496,1.1492,-5.4769,0.5757
25,24.0315,-69.6667,3.7942,280.4730,-0.6897,-3.7310,0.3413
20,24.2960,-71.5128,3.7959,278.5070,-0.5615,-3.7542,0.3414
15,25.1225,-73.1882,3.8560,298.1617,-1.8199,-3.3995,0.3464
10,25.9048,-74.8664,3.7950,296.9569,-1.7203,-3.3826,0.3409
5,26.5021,-77.4454,5.3209,282.9903,-1.1961,-5.1847,0.6013
0,26.9189,-80.0801,5.3215,278.5360,-0.7899,-5.2625,0.6013
