Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
250,-56.7927,-40.3913,3.8872,101.3278,0.7635,3.8114,0.4079
245,-58.0636,-37.5072,4.4666,127.3708,2.7111,3.5497,0.4912
240,-59.2238,-34.3612,4.4666,123.2667,2.4501,3.7347,0.4912
235,-59.9302,-29.8418,5.3313,104.3914,1.3251,5.1640,0.5767
230,-60.4096,-25.1244,5.3313,98.6915,0.8056,5.2700,0.5767
225,-60.2041,-18.4861,7.3327,82.5200,-0.9546,7.2703,0.7754
220,-59.5585,-12.0474,7.3327,74.9033,-1.9098,7.0796,0.7754
215,-58.9030,-9.9981,2.7526,56.8194,-1.5065,2.3038,0.2730
210,-58.2061,-8.0403,2.7526,54.5712,-1.5957,2.2429,0.2730
205,-56.9531,-7.9679,2.7911,1.8994,-2.7896,0.0925,0.2584
200,-55.7002,-7.8881,2.7911,2.1457,-2.7891,0.1045,0.2584
195,-54.8531,-8.3642,1.9802,342.6745,-1.8904,-0.5897,0.2001
190,-54.0021,-8.8090,1.9802,343.4950,-1.8986,-0.5626,0.2001
185,-53.2040,-10.5849,2.9430,308.4069,-1.8283,-2.3062,0.3447
180,-52.3608,-12.2681,2.9430,310.8532,-1.9251,-2.2261,0.3447
175,-51.6411,-14.9165,3.9677,295.6413,-1.7170,-3.5770,0.4754
170,-50.8205,-17.4430,3.9677,299.1842,-1.9347,-3.4640,0.4754
165,-50.6476,-18.6815,1.7872,283.2584,-0.4099,-1.7396,0.2114
160,-50.4524,-19.9070,1.7872,284.8924,-0.4593,-1.7272,0.2114
155,-49.6359,-23.3420,5.2367,292.6402,-2.0158,-4.8332,0.6223
150,-48.6456,-26.6035,5.2367,297.1442,-2.3891,-4.6599,0.6223
145,-48.2279,-25.7909,1.5183,52.8113,-0.9177,1.2096,0.3789
140,-47.4127,-25.5050,1.8648,14.4247,-1.8061,0.4645,0.5386
135,-47.0935,-25.0090,1.0329,47.4384,-0.6986,0.7608,0.4477
130,-46.7448,-24.5331,1.0614,43.9118,-0.7646,0.7361,0.4454
125,-46.3312,-24.2909,0.9929,22.9983,-0.9140,0.3879,0.4677
120,-45.4709,-25.4334,2.6080,317.9270,-1.9359,-1.7476,0.2570
115,-45.8965,-27.6573,3.5863,254.8686,0.9361,-3.4619,0.4045
110,-46.3682,-29.9328,3.6646,253.5805,1.0359,-3.5151,0.4045
105,-47.1336,-31.7844,3.2987,238.8350,1.7071,-2.8226,0.4180
100,-47.9682,-33.6981,3.4237,237.1338,1.8580,-2.8757,0.4180
95,-48.7892,-36.4210,4.4217,246.1438,1.7883,-4.0439,0.4380
90,-49.6211,-39.2165,4.4681,246.1665,1.8055,-4.0871,0.4332
85,-50.0581,-43.0103,5.5329,261.2313,0.8435,-5.4682,0.4985
80,-50.5980,-46.7230,5.4115,258.2198,1.1048,-5.2976,0.5094
75,-50.1722,-49.9324,4.6534,282.4851,-1.0060,-4.5433,0.4639
70,-49.7073,-53.1157,4.6769,283.5080,-1.0924,-4.5475,0.4639
65,-50.4709,-54.7742,2.9159,234.2296,1.7045,-2.3659,0.3969
60,-51.6395,-55.6459,2.8736,204.6980,2.6107,-1.2007,0.3997
55,-52.1031,-56.5575,1.6235,230.1422,1.0405,-1.2463,0.3294
50,-52.6091,-57.7536,1.9786,234.8418,1.1393,-1.6176,0.4091
45,-52.7975,-59.2142,2.0146,257.7968,0.4258,-1.9690,0.3562
40,-52.7084,-60.9463,2.3425,274.9130,-0.2006,-2.3339,0.3305
35,-52.7255,-60.5077,0.5928,92.1791,0.0225,0.5924,0.5336
30,-52.7689,-60.1935,0.4343,101.5037,0.0866,0.4256,0.4959
25,-52.1044,-62.0726,2.9484,300.2240,-1.4842,-2.5476,0.3666
20,-51.4726,-63.9407,2.9321,298.7670,-1.4111,-2.5702,0.3661
15,-50.2050,-66.1859,4.2339,312.2039,-2.8442,-3.1363,0.4222
10,-48.9851,-68.2504,4.0312,312.6658,-2.7320,-2.9642,0.4080
5,-47.8208,-67.6334,2.7481,18.0101,-2.6135,0.8497,0.5194
0,-46.7034,-67.1190,2.6065,16.0006,-2.5055,0.7185,0.5194
