Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
250,11.8735,20.6979,3.5772,352.5951,-3.5474,-0.4610,0.4079
245,12.7236,20.2258,2.1535,330.4016,-1.8725,-1.0636,0.4682
240,13.5694,19.7305,2.1678,329.1817,-1.8617,-1.1106,0.4682
235,15.3009,18.8906,4.2593,333.7165,-3.8190,-1.8861,0.5574
230,16.9961,17.9695,4.2576,331.2963,-3.7344,-2.0448,0.5574
225,19.5926,16.8470,6.2493,336.2356,-5.7194,-2.5183,0.7572
220,22.1273,15.5593,6.2471,333.1016,-5.5712,-2.8262,0.7572
215,23.2363,15.2514,2.5488,345.2717,-2.4650,-0.6480,0.2586
210,24.3406,14.9229,2.5482,344.4068,-2.4545,-0.6850,0.2586
205,25.4285,15.4724,2.6643,25.0205,-2.4142,1.1268,0.2654
200,26.5107,16.0411,2.6646,25.7011,-2.4010,1.1556,0.2654
195,27.3054,16.4880,1.9794,27.3739,-1.7578,0.9101,0.3128
190,28.0970,16.9577,1.9908,28.4698,-1.7501,0.9490,0.3128
185,28.3508,17.9759,2.0759,75.4736,-0.5207,2.0095,0.4519
180,28.5791,19.0161,2.0984,77.2571,-0.4629,2.0467,0.4521
175,28.1851,20.3502,2.7567,110.1605,0.9501,2.5878,0.5717
170,27.7435,21.6718,2.7788,112.3162,1.0552,2.5707,0.5719
165,27.4559,22.0808,1.0302,129.2598,0.6520,0.7977,0.3092
160,27.0599,22.0754,0.8818,182.5577,0.8810,-0.0394,0.7496
155,25.7257,23.0542,3.5558,149.6328,3.0679,1.7976,1.1359
150,25.0491,23.8621,2.2163,134.9899,1.5669,1.5674,0.8210
145,27.0947,23.1164,4.7922,341.9029,-4.5551,-1.4886,0.4378
140,28.4709,23.1851,3.0672,1.3737,-3.0663,0.0735,0.5431
135,29.7542,22.7372,2.9873,341.5501,-2.8338,-0.9454,0.6143
130,31.0282,22.2921,2.9626,341.8027,-2.8144,-0.9252,0.5887
125,32.1783,22.4138,2.5712,3.7904,-2.5655,0.1700,0.6028
120,33.5145,22.1838,3.0059,350.8265,-2.9675,-0.4792,0.4439
115,33.7961,20.7792,2.6775,282.7260,-0.5898,-2.6117,0.2956
110,34.0348,19.3548,2.6848,280.5872,-0.4933,-2.6391,0.2960
105,34.3960,17.1531,4.1324,279.7143,-0.6973,-4.0732,0.5135
100,34.6498,14.9206,4.1340,276.3348,-0.4561,-4.1088,0.5137
95,34.3616,12.9890,3.6015,258.5027,0.7179,-3.5293,0.4252
90,33.9963,11.0828,3.6040,255.7329,0.8882,-3.4929,0.4254
85,33.1756,9.7744,3.0376,232.2840,1.8582,-2.4029,0.3115
80,32.3607,8.5661,2.8998,230.4290,1.8473,-2.2353,0.3323
75,32.3261,8.0256,1.0195,265.1513,0.0862,-1.0158,0.1740
70,32.2869,7.4870,1.0173,264.5674,0.0963,-1.0127,0.1737
65,32.2216,6.2348,2.3623,265.5098,0.1849,-2.3551,0.3289
60,32.0138,5.0010,2.3721,257.9006,0.4972,-2.3194,0.2992
55,32.1665,4.2372,1.4801,282.7447,-0.3265,-1.4437,0.1863
50,32.6359,3.2109,2.1942,297.6117,-1.0169,-1.9443,0.2978
45,32.9582,2.2175,1.9930,290.3690,-0.6937,-1.8683,0.2583
40,33.1392,1.3023,1.7548,282.6519,-0.3843,-1.7122,0.2174
35,34.9994,-0.1881,4.9705,325.2287,-4.0830,-2.8347,0.5447
30,36.6411,-1.7364,4.6013,321.8835,-3.6201,-2.8402,0.4256
25,37.0710,-2.1108,1.1666,325.6620,-0.9633,-0.6581,0.2783
20,37.4694,-2.5165,1.1418,321.4916,-0.8935,-0.7109,0.2717
15,38.0828,-1.9695,1.6708,35.7082,-1.3567,0.9752,0.2076
10,38.6601,-1.4377,1.5855,36.3523,-1.2769,0.9398,0.2011
5,41.0594,-1.5011,5.3428,358.9211,-5.3418,-0.1006,0.4817
0,43.4467,-1.5947,5.3173,358.4126,-5.3153,-0.1473,0.4795
