Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
250,0.4291,19.7790,3.5030,1.6775,-3.5015,0.1025,0.4079
245,1.5328,19.3827,2.6110,339.1672,-2.4403,-0.9286,0.4912
240,2.6207,18.9446,2.6110,336.9931,-2.4033,-1.0205,0.4912
235,4.3370,18.5760,3.9082,346.7452,-3.8041,-0.8961,0.5767
230,6.0370,18.1372,3.9082,344.4175,-3.7646,-1.0498,0.5767
225,8.6655,17.6177,5.9641,347.4736,-5.8222,-1.2936,0.7754
220,11.2647,16.9605,5.9641,344.5569,-5.7488,-1.5881,0.7754
215,12.4041,16.8429,2.5496,353.8478,-2.5349,-0.2732,0.2730
210,13.5418,16.7091,2.5496,353.0753,-2.5310,-0.3074,0.2730
205,14.6212,17.1571,2.5905,22.2662,-2.3973,0.9816,0.2584
200,15.6953,17.6205,2.5905,22.9492,-2.3855,1.0101,0.2584
195,16.2448,18.0738,1.5615,38.8383,-1.2163,0.9792,0.2001
190,16.7878,18.5367,1.5615,39.6838,-1.2017,0.9971,0.2001
185,16.7676,19.3152,1.6601,92.4406,0.0707,1.6586,0.3447
180,16.7243,20.0925,1.6601,94.2183,0.1221,1.6556,0.3447
175,16.0552,20.9962,2.4383,128.8430,1.5293,1.8991,0.4754
170,15.3511,21.8674,2.4383,131.1885,1.6057,1.8349,0.4754
165,14.8124,22.1487,1.3431,153.7106,1.2042,0.5949,0.2114
160,14.2694,22.4202,1.3431,154.6468,1.2137,0.5751,0.2114
155,12.7517,23.2180,3.7950,154.3202,3.4202,1.6445,0.6223
150,11.1984,23.9351,3.7950,157.0721,3.4952,1.4784,0.6223
145,12.4115,23.9893,2.7035,2.1429,-2.7016,0.1011,0.2843
140,13.5878,24.2042,2.6602,10.0414,-2.6194,0.4638,0.2408
135,14.6961,24.0938,2.4790,354.1108,-2.4659,-0.2544,0.2655
130,15.8046,23.9562,2.4857,352.7902,-2.4660,-0.3120,0.2656
125,16.7879,23.8363,2.2042,353.0280,-2.1879,-0.2676,0.2275
120,17.7712,23.6944,2.2098,351.8549,-2.1875,-0.3131,0.2277
115,18.1104,22.9013,1.8420,293.3841,-0.7311,-1.6907,0.3249
110,18.4250,22.0933,1.8462,291.4668,-0.6756,-1.7181,0.3250
105,18.9491,20.8953,2.7833,293.3822,-1.1046,-2.5547,0.5476
100,19.4167,19.6679,2.7833,290.5430,-0.9767,-2.6063,0.5476
95,19.3477,18.5587,2.3347,265.0344,0.2021,-2.3260,0.4561
90,19.2352,17.4541,2.3347,262.6445,0.2989,-2.3155,0.4561
85,18.6058,16.6543,2.1911,229.4414,1.4247,-1.6647,0.3333
80,17.9556,15.8763,2.1911,227.8522,1.4703,-1.6245,0.3333
75,17.9713,15.5374,0.7187,272.3941,-0.0300,-0.7180,0.1481
70,17.9826,15.1982,0.7187,271.6230,-0.0204,-0.7184,0.1481
65,18.2243,14.4355,1.7014,287.5504,-0.5131,-1.6222,0.3434
60,18.4434,13.6643,1.7014,285.7702,-0.4624,-1.6374,0.3434
55,18.8611,13.2263,1.3108,314.6668,-0.9215,-0.9322,0.2158
50,19.2711,12.7793,1.3108,313.6164,-0.9042,-0.9490,0.2158
45,19.7232,12.2855,1.4447,313.5961,-0.9962,-1.0463,0.2351
40,20.1659,11.7809,1.4447,312.4441,-0.9750,-1.0661,0.2351
35,22.4977,10.9325,5.4814,340.2964,-5.1605,-1.8481,0.5931
30,24.8004,9.9817,5.4814,338.2613,-5.0916,-2.0302,0.5931
25,25.7438,9.6413,2.2093,341.5814,-2.0961,-0.6980,0.2268
20,26.6833,9.2853,2.2093,340.8754,-2.0873,-0.7238,0.2268
15,27.3569,9.4697,1.5437,13.8926,-1.4985,0.3706,0.1504
10,28.0294,9.6603,1.5437,14.2718,-1.4960,0.3805,0.1504
5,30.6819,9.7255,5.9068,1.2944,-5.9053,0.1334,0.5310
0,33.3342,9.8000,5.9068,1.4349,-5.9049,0.1479,0.5310
