Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
250,-19.6001,-7.9889,2.3210,40.9567,-1.7528,1.5214,0.4079
245,-19.6130,-7.4824,1.0626,90.2626,0.0049,1.0625,0.4912
240,-19.6044,-6.9759,1.0626,87.6832,-0.0430,1.0617,0.4912
235,-19.0412,-6.2156,2.0310,50.3721,-1.2954,1.5643,0.5767
230,-18.4414,-5.4899,2.0310,47.4033,-1.3746,1.4951,0.5767
225,-17.1249,-4.4730,3.6390,34.4233,-3.0018,2.0571,0.7754
220,-15.7471,-3.5567,3.6390,30.6483,-3.1307,1.8550,0.7754
215,-14.9386,-3.2156,1.9435,21.5677,-1.8074,0.7144,0.2730
210,-14.1237,-2.8924,1.9435,20.4375,-1.8211,0.6786,0.2730
205,-12.8881,-2.6673,2.7937,10.1749,-2.7497,0.4935,0.2584
200,-11.6536,-2.4376,2.7937,10.4341,-2.7475,0.5059,0.2584
195,-10.8592,-2.3278,1.7848,8.0108,-1.7674,0.2487,0.2001
190,-10.0659,-2.2101,1.7848,8.5884,-1.7648,0.2665,0.2001
185,-9.4706,-2.2197,1.3257,359.8959,-1.3257,-0.0024,0.3447
180,-8.8752,-2.2123,1.3257,1.5120,-1.3252,0.0350,0.3447
175,-8.6120,-2.3375,0.6476,336.0007,-0.5916,-0.2634,0.4754
170,-8.3439,-2.4516,0.6476,338.3766,-0.6020,-0.2386,0.4754
165,-8.4568,-2.5703,0.3627,226.6638,0.2489,-0.2638,0.2114
160,-8.5675,-2.6912,0.3627,227.7262,0.2440,-0.2684,0.2114
155,-8.7600,-3.0180,0.8374,240.7839,0.4088,-0.7309,0.6223
150,-8.9345,-3.3551,0.8374,243.9243,0.3681,-0.7522,0.6223
145,-8.1797,-2.9734,1.8791,25.9718,-1.6893,0.8229,0.2843
140,-7.4171,-2.6083,1.8791,24.7786,-1.7061,0.7876,0.2843
135,-6.9938,-2.3415,1.1115,31.1606,-0.9511,0.5751,0.3524
130,-6.5628,-2.0878,1.1115,29.4408,-0.9679,0.5463,0.3524
125,-6.1671,-1.8722,1.0020,27.6796,-0.8873,0.4654,0.3117
120,-5.7658,-1.6673,1.0020,26.1663,-0.8993,0.4419,0.3117
115,-6.3561,-1.7105,1.3177,183.0892,1.3158,-0.0710,0.4443
110,-6.9475,-1.7315,1.3177,180.9503,1.3175,-0.0219,0.4443
105,-7.5184,-1.6880,1.2746,174.3384,1.2684,0.1257,0.5476
100,-8.0865,-1.6175,1.2746,171.6515,1.2611,0.1851,0.5476
95,-8.9502,-1.6198,1.9230,179.0969,1.9228,0.0303,0.4561
90,-9.8134,-1.5899,1.9230,176.9816,1.9203,0.1013,0.4561
85,-10.8955,-1.6434,2.4122,182.1582,2.4105,-0.0908,0.3333
80,-11.9786,-1.6729,2.4122,180.8975,2.4119,-0.0378,0.3333
75,-12.1824,-1.6233,0.4664,166.2466,0.4531,0.1109,0.1481
70,-12.3856,-1.5710,0.4664,165.5253,0.4516,0.1166,0.1481
65,-12.6272,-1.4081,0.6442,145.7829,0.5327,0.3622,0.3434
60,-12.8640,-1.2376,0.6442,144.0528,0.5215,0.3781,0.3434
55,-12.7095,-1.1002,0.4552,40.3871,-0.3467,0.2950,0.2158
50,-12.5525,-0.9660,0.4552,39.2981,-0.3523,0.2883,0.2158
45,-12.3633,-0.8226,0.5241,35.9098,-0.4245,0.3074,0.2351
40,-12.1713,-0.6833,0.5241,34.7287,-0.4307,0.2985,0.2351
35,-10.2658,-0.3675,4.2982,8.0778,-4.2555,0.6040,0.5931
30,-8.3495,-0.1314,4.2982,5.7882,-4.2762,0.4335,0.5931
25,-7.5283,-0.0666,1.8340,4.0765,-1.8294,0.1304,0.2268
20,-6.7062,-0.0132,1.8340,3.2906,-1.8310,0.1053,0.2268
15,-5.9872,-0.0233,1.6010,359.3096,-1.6009,-0.0193,0.1504
10,-5.2681,-0.0307,1.6010,359.5297,-1.6009,-0.0131,0.1504
5,-2.6341,-0.0076,5.8646,0.3325,-5.8645,0.0340,0.5310
0,0.0000,0.0000,5.8646,0.0000,-5.8646,0.0000,0.5310
