Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,-34.8178,-0.4264,2.7294,2.9504,-2.7258,0.1405,0.2584
199,-34.6628,-0.4641,2.5262,1.0871,-2.5257,0.0479,0.2440
198,-34.5078,-0.5013,2.3264,358.8921,-2.3260,-0.0450,0.2308
197,-34.3527,-0.5380,2.1311,356.2809,-2.1266,-0.1382,0.2189
196,-34.1975,-0.5741,1.9414,353.1420,-1.9275,-0.2318,0.2086
195,-34.0423,-0.6096,1.7591,349.3292,-1.7287,-0.3257,0.2001
194,-33.8869,-0.6447,1.7591,349.4716,-1.7295,-0.3214,0.2001
193,-33.7315,-0.6792,1.7591,349.6136,-1.7303,-0.3171,0.2001
192,-33.5760,-0.7132,1.7591,349.7553,-1.7311,-0.3129,0.2001
191,-33.4205,-0.7467,1.7591,349.8966,-1.7319,-0.3086,0.2001
190,-33.2649,-0.7796,1.7591,350.0375,-1.7326,-0.3043,0.2001
189,-33.1534,-0.9373,1.7210,342.0795,-1.6375,-0.5295,0.2209
188,-33.0411,-1.0939,1.7197,333.9649,-1.5452,-0.7548,0.2471
187,-32.9278,-1.2493,1.7548,326.0469,-1.4556,-0.9801,0.2771
186,-32.8137,-1.4037,1.8237,318.6323,-1.3687,-1.2053,0.3099
185,-32.6988,-1.5569,1.9225,311.9228,-1.2845,-1.4305,0.3447
184,-32.5830,-1.7091,1.9225,312.3031,-1.2940,-1.4219,0.3447
183,-32.4663,-1.8601,1.9225,312.6826,-1.3034,-1.4133,0.3447
182,-32.3488,-2.0100,1.9225,313.0613,-1.3127,-1.4047,0.3447
181,-32.2305,-2.1588,1.9225,313.4390,-1.3219,-1.3960,0.3447
180,-32.1113,-2.3065,1.9225,313.8160,-1.3311,-1.3872,0.3447
179,-32.0574,-2.5539,1.9738,307.3923,-1.1986,-1.5682,0.3686
178,-32.0015,-2.8005,2.0512,301.4215,-1.0694,-1.7504,0.3939
177,-31.9435,-3.0463,2.1518,296.0014,-0.9433,-1.9340,0.4202
176,-31.8836,-3.2912,2.2721,291.1686,-0.8205,-2.1188,0.4474
175,-31.8216,-3.5353,2.4090,286.9140,-0.7009,-2.3048,0.4754
174,-31.7576,-3.7786,2.4090,287.4654,-0.7230,-2.2980,0.4754
173,-31.6917,-4.0209,2.4090,288.0161,-0.7451,-2.2909,0.4754
172,-31.6238,-4.2623,2.4090,288.5660,-0.7670,-2.2837,0.4754
171,-31.5539,-4.5027,2.4090,289.1153,-0.7889,-2.2762,0.4754
170,-31.4820,-4.7422,2.4090,289.6637,-0.8106,-2.2686,0.4754
169,-31.4962,-4.8640,2.1386,287.0162,-0.6258,-2.0450,0.4216
168,-31.5099,-4.9860,1.8743,283.5408,-0.4389,-1.8222,0.3681
167,-31.5232,-5.1080,1.6198,278.8676,-0.2497,-1.6004,0.3150
