Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,-44.8023,-16.0481,2.8513,10.4139,-2.8043,0.5154,0.2584
199,-44.6211,-16.0753,2.6725,8.0095,-2.6465,0.3724,0.2440
198,-44.4399,-16.1021,2.4995,5.2649,-2.4889,0.2294,0.2308
197,-44.2587,-16.1283,2.3333,2.1200,-2.3317,0.0863,0.2189
196,-44.0774,-16.1540,2.1756,358.5061,-2.1749,-0.0567,0.2086
195,-43.8961,-16.1791,2.0282,354.3480,-2.0183,-0.1997,0.2001
194,-43.7148,-16.2038,2.0282,354.4479,-2.0187,-0.1962,0.2001
193,-43.5334,-16.2279,2.0282,354.5474,-2.0190,-0.1927,0.2001
192,-43.3521,-16.2515,2.0282,354.6465,-2.0193,-0.1892,0.2001
191,-43.1706,-16.2746,2.0282,354.7452,-2.0197,-0.1858,0.2001
190,-42.9892,-16.2973,2.0282,354.8435,-2.0200,-0.1823,0.2001
189,-42.7956,-16.5046,2.1039,346.9836,-2.0498,-0.4739,0.2209
188,-42.6009,-16.7094,2.2190,339.8597,-2.0833,-0.7640,0.2471
187,-42.4053,-16.9119,2.3673,333.5941,-2.1203,-1.0528,0.2771
186,-42.2087,-17.1120,2.5426,328.1934,-2.1608,-1.3401,0.3099
185,-42.0111,-17.3098,2.7394,323.5927,-2.2047,-1.6259,0.3447
184,-41.8126,-17.5052,2.7394,323.9646,-2.2152,-1.6115,0.3447
183,-41.6131,-17.6982,2.7394,324.3344,-2.2255,-1.5972,0.3447
182,-41.4128,-17.8890,2.7394,324.7021,-2.2358,-1.5829,0.3447
181,-41.2115,-18.0774,2.7394,325.0679,-2.2458,-1.5686,0.3447
180,-41.0093,-18.2636,2.7394,325.4317,-2.2557,-1.5543,0.3447
179,-40.8279,-18.5951,2.8508,321.2858,-2.2244,-1.7830,0.3686
178,-40.6441,-18.9232,2.9790,317.5299,-2.1974,-2.0115,0.3939
177,-40.4577,-19.2479,3.1217,314.1578,-2.1747,-2.2396,0.4202
176,-40.2689,-19.5693,3.2767,311.1501,-2.1562,-2.4673,0.4474
175,-40.0777,-19.8873,3.4422,308.4800,-2.1419,-2.6946,0.4754
174,-39.8841,-20.2020,3.4422,309.0433,-2.1682,-2.6734,0.4754
173,-39.6882,-20.5133,3.4422,309.6035,-2.1943,-2.6521,0.4754
172,-39.4899,-20.8212,3.4422,310.1608,-2.2200,-2.6306,0.4754
171,-39.2893,-21.1257,3.4422,310.7152,-2.2453,-2.6090,0.4754
170,-39.0865,-21.4268,3.4422,311.2665,-2.2703,-2.5873,0.4754
169,-39.0395,-21.5867,3.0334,309.5536,-1.9317,-2.3389,0.4216
168,-38.9919,-21.7463,2.6288,307.2322,-1.5905,-2.0930,0.3681
167,-38.9437,-21.9054,2.2308,303.9834,-1.2469,-1.8497,0.3150
166,-38.8950,-22.0641,1.8440,299.2401,-0.9007,-1.6091,0.2626
165,-38.8456,-22.2224,1.4780,291.9368,-0.5521,-1.3710,0.2114
164,-38.7958,-22.3804,1.4780,292.2003,-0.5584,-1.3684,0.2114
163,-38.7453,-22.5379,1.4780,292.4635,-0.5647,-1.3658,0.2114
162,-38.6943,-22.6950,1.4780,292.7263,-0.5710,-1.3632,0.2114
161,-38.6427,-22.8517,1.4780,292.9887,-0.5772,-1.3606,0.2114
160,-38.5906,-23.0080,1.4780,293.2508,-0.5834,-1.3579,0.2114
159,-38.4107,-23.4521,2.0523,295.5976,-0.8867,-1.8509,0.2935
158,-38.2262,-23.8920,2.6277,297.2464,-1.2030,-2.3361,0.3757
157,-38.0371,-24.3276,3.2037,298.5707,-1.5321,-2.8135,0.4579
156,-37.8436,-24.7590,3.7800,299.7167,-1.8738,-3.2829,0.5401
155,-37.6457,-25.1859,4.3566,300.7537,-2.2278,-3.7440,0.6223
154,-37.4434,-25.6085,4.3566,301.4950,-2.2760,-3.7149,0.6223
153,-37.2368,-26.0265,4.3566,302.2323,-2.3236,-3.6853,0.6223
152,-37.0259,-26.4401,4.3566,302.9658,-2.3706,-3.6552,0.6223
151,-36.8109,-26.8491,4.3566,303.6952,-2.4170,-3.6247,0.6223
150,-36.5917,-27.2535,4.3566,304.4207,-2.4627,-3.5938,0.6223
149,-36.5262,-27.0194,3.2352,310.5913,-2.1050,-2.4567,0.5050
148,-36.4597,-26.7860,2.1965,323.0545,-1.7555,-1.3202,0.3949
147,-36.3919,-26.5532,1.4259,352.5696,-1.4139,-0.1844,0.2996
146,-36.3231,-26.3211,1.4391,41.3451,-1.0804,0.9506,0.2376
145,-36.2531,-26.0895,2.2173,70.0985,-0.7548,2.0848,0.2366
144,-36.0974,-25.9173,2.1957,64.2449,-0.9541,1.9776,0.2413
143,-35.9409,-25.7466,2.1957,58.3354,-1.1526,1.8688,0.2480
142,-35.7838,-25.5773,2.2172,52.4811,-1.3503,1.7586,0.2565
141,-35.6260,-25.4095,2.2597,46.7870,-1.5473,1.6469,0.2666
140,-35.4675,-25.2431,2.3220,41.3407,-1.7434,1.5338,0.2783
139,-35.4132,-25.0576,2.1756,45.7313,-1.5186,1.5579,0.2582
138,-35.3580,-24.8729,2.0452,50.7370,-1.2944,1.5835,0.2392
137,-35.3018,-24.6892,1.9339,56.3864,-1.0706,1.6106,0.2216
136,-35.2448,-24.5063,1.8452,62.6629,-0.8473,1.6391,0.2058
135,-35.1870,-24.3242,1.7821,69.4836,-0.6246,1.6691,0.1922
134,-35.1282,-24.1431,1.7792,69.1111,-0.6344,1.6623,0.1918
133,-35.0686,-23.9629,1.7763,68.7390,-0.6441,1.6554,0.1913
132,-35.0082,-23.7836,1.7734,68.3672,-0.6538,1.6485,0.1909
131,-34.9469,-23.6052,1.7705,67.9959,-0.6633,1.6415,0.1905
130,-34.8847,-23.4277,1.7675,67.6250,-0.6728,1.6344,0.1901
129,-34.8151,-23.2797,1.7225,66.1576,-0.6963,1.5755,0.1902
128,-34.7449,-23.1326,1.6786,64.6296,-0.7192,1.5167,0.1907
127,-34.6741,-22.9863,1.6357,63.0381,-0.7416,1.4579,0.1916
126,-34.6028,-22.8408,1.5940,61.3799,-0.7635,1.3992,0.1928
125,-34.5308,-22.6962,1.5534,59.6520,-0.7849,1.3406,0.1944
124,-34.3457,-22.8404,1.3195,37.9631,-1.0403,0.8117,0.2228
123,-34.1819,-22.9738,1.2869,13.5070,-1.2513,0.3006,0.2165
122,-34.0179,-23.1074,1.4778,351.8130,-1.4628,-0.2104,0.2217
121,-33.8537,-23.2413,1.8234,336.6958,-1.6747,-0.7214,0.2375
120,-33.6997,-23.5235,2.3978,321.0902,-1.8658,-1.5061,0.2570
119,-33.7823,-23.9462,2.3944,301.9531,-1.2672,-2.0316,0.2163
118,-33.8671,-24.3699,2.6699,285.5220,-0.7145,-2.5725,0.2424
117,-33.9540,-24.7946,3.1180,272.8587,-0.1555,-3.1141,0.2950
116,-34.0428,-25.2203,3.6792,263.6076,0.4096,-3.6563,0.3625
115,-34.1337,-25.6470,4.0405,256.3096,0.9563,-3.9257,0.4045
114,-34.2266,-26.0747,4.0510,256.0237,0.9784,-3.9310,0.4045
113,-34.3213,-26.5034,4.0614,255.7448,1.0001,-3.9363,0.4045
112,-34.4180,-26.9332,4.0718,255.4728,1.0214,-3.9416,0.4045
111,-34.5165,-27.3640,4.0822,255.2079,1.0422,-3.9469,0.4045
110,-34.6168,-27.7959,4.0925,254.9499,1.0627,-3.9521,0.4045
109,-34.7631,-28.1662,4.0193,252.8446,1.1855,-3.8405,0.4050
108,-34.9125,-28.5376,3.9526,250.6337,1.3107,-3.7289,0.4067
107,-35.0649,-28.9101,3.8929,248.3200,1.4381,-3.6176,0.4094
106,-35.2202,-29.2838,3.8409,245.9083,1.5678,-3.5063,0.4131
105,-35.3785,-29.6586,3.7970,243.4052,1.6998,-3.3953,0.4180
104,-35.5397,-30.0346,3.8155,242.9977,1.7323,-3.3995,0.4180
103,-35.7037,-30.4118,3.8338,242.5997,1.7643,-3.4037,0.4180
102,-35.8705,-30.7902,3.8522,242.2113,1.7959,-3.4079,0.4180
101,-36.0401,-31.1698,3.8704,241.8324,1.8270,-3.4120,0.4180
100,-36.2124,-31.5507,3.8885,241.4630,1.8576,-3.4161,0.4180
99,-36.3806,-32.0318,4.0568,242.5908,1.8675,-3.6014,0.4189
98,-36.5496,-32.5146,4.2243,243.6901,1.8723,-3.7867,0.4215
97,-36.7193,-32.9990,4.3909,244.7655,1.8719,-3.9719,0.4258
96,-36.8898,-33.4852,4.5567,245.8207,1.8664,-4.1570,0.4318
