Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,-18.4594,31.1760,1.9730,359.1190,-1.9727,-0.0303,0.2584
199,-18.3896,31.1599,1.7348,358.2006,-1.7339,-0.0545,0.2440
198,-18.3198,31.1439,1.4972,356.9587,-1.4951,-0.0794,0.2308
197,-18.2499,31.1282,1.2609,355.2126,-1.2565,-0.1052,0.2189
196,-18.1800,31.1128,1.0264,352.6196,-1.0179,-0.1318,0.2086
195,-18.1100,31.0976,0.7955,348.4493,-0.7794,-0.1593,0.2001
194,-18.0399,31.0827,0.7955,348.6409,-0.7799,-0.1567,0.2001
193,-17.9699,31.0680,0.7955,348.8324,-0.7804,-0.1541,0.2001
192,-17.8997,31.0536,0.7955,349.0238,-0.7809,-0.1515,0.2001
191,-17.8296,31.0394,0.7955,349.2151,-0.7814,-0.1489,0.2001
190,-17.7593,31.0255,0.7955,349.4063,-0.7819,-0.1462,0.2001
189,-17.8345,30.9719,0.5141,333.3894,-0.4596,-0.2303,0.2209
188,-17.9094,30.9177,0.3456,293.5677,-0.1382,-0.3168,0.2471
187,-17.9839,30.8631,0.4449,245.7938,0.1824,-0.4058,0.2771
186,-18.0582,30.8080,0.7066,224.7179,0.5021,-0.4972,0.3099
185,-18.1321,30.7524,1.0116,215.7554,0.8209,-0.5911,0.3447
184,-18.2057,30.6962,1.0116,216.1054,0.8173,-0.5961,0.3447
183,-18.2789,30.6396,1.0116,216.4556,0.8137,-0.6011,0.3447
182,-18.3518,30.5825,1.0116,216.8061,0.8100,-0.6061,0.3447
181,-18.4244,30.5249,1.0116,217.1567,0.8062,-0.6110,0.3447
180,-18.4967,30.4668,1.0116,217.5076,0.8025,-0.6159,0.3447
179,-18.7063,30.3713,1.3090,212.5402,1.1035,-0.7041,0.3686
178,-18.9152,30.2740,1.6132,209.5444,1.4034,-0.7955,0.3939
177,-19.1234,30.1749,1.9209,207.6032,1.7023,-0.8901,0.4202
176,-19.3309,30.0738,2.2307,206.2864,2.0000,-0.9879,0.4474
175,-19.5376,29.9710,2.5417,205.3681,2.2966,-1.0889,0.4754
174,-19.7435,29.8662,2.5417,205.8203,2.2879,-1.1070,0.4754
173,-19.9486,29.7597,2.5417,206.2734,2.2791,-1.1251,0.4754
172,-20.1529,29.6512,2.5417,206.7276,2.2701,-1.1431,0.4754
171,-20.3565,29.5409,2.5417,207.1827,2.2610,-1.1611,0.4754
170,-20.5591,29.4287,2.5417,207.6389,2.2516,-1.1791,0.4754
169,-20.6894,29.3734,2.3443,207.0566,2.0877,-1.0664,0.4216
168,-20.8194,29.3175,2.1472,206.3120,1.9247,-0.9518,0.3681
167,-20.9493,29.2612,1.9506,205.3561,1.7627,-0.8353,0.3150
166,-21.0790,29.2044,1.7547,204.1185,1.6016,-0.7170,0.2626
165,-21.2086,29.1472,1.5601,202.4948,1.4414,-0.5969,0.2114
164,-21.3380,29.0894,1.5601,202.6740,1.4395,-0.6014,0.2114
163,-21.4672,29.0312,1.5601,202.8536,1.4376,-0.6059,0.2114
162,-21.5963,28.9724,1.5601,203.0334,1.4357,-0.6104,0.2114
161,-21.7252,28.9132,1.5601,203.2136,1.4338,-0.6149,0.2114
160,-21.8539,28.8535,1.5601,203.3940,1.4318,-0.6194,0.2114
159,-22.2119,28.6771,2.1243,204.2961,1.9361,-0.8740,0.2935
158,-22.5684,28.4965,2.6886,205.0565,2.4356,-1.1387,0.3757
157,-22.9232,28.3117,3.2530,205.7504,2.9299,-1.4133,0.4579
156,-23.2764,28.1227,3.8174,206.4085,3.4190,-1.6979,0.5401
155,-23.6278,27.9294,4.3819,207.0458,3.9027,-1.9924,0.6223
154,-23.9775,27.7319,4.3819,207.6074,3.8830,-2.0306,0.6223
153,-24.3254,27.5301,4.3819,208.1719,3.8628,-2.0688,0.6223
152,-24.6715,27.3240,4.3819,208.7394,3.8421,-2.1069,0.6223
151,-25.0157,27.1136,4.3819,209.3097,3.8209,-2.1451,0.6223
150,-25.3580,26.8987,4.3819,209.8831,3.7993,-2.1832,0.6223
149,-25.1083,27.0005,2.9211,211.5417,2.4895,-1.5281,0.4501
148,-24.8583,27.1013,1.4702,216.9087,1.1755,-0.8829,0.2822
