Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
199,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
198,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
197,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
196,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
195,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
194,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
193,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
192,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
191,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
190,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
189,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
188,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
187,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
186,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
185,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
184,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
183,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
182,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
181,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
180,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
179,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
178,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
177,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
176,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
175,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
174,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
173,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
172,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
171,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
170,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
169,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
168,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
167,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
166,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
165,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
164,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
163,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
162,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
161,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
160,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
159,32.8378,8.4741,0.0000,0.0000,0.0000,0.0000,0.0000
