Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,-55.7002,-7.8881,2.7911,2.1457,-2.7891,0.1045,0.2584
199,-55.5311,-7.9860,2.6083,359.2740,-2.6080,-0.0330,0.2440
198,-55.3618,-8.0824,2.4337,355.9646,-2.4276,-0.1713,0.2308
197,-55.1924,-8.1776,2.2692,352.1450,-2.2479,-0.3101,0.2189
196,-55.0228,-8.2715,2.1171,347.7387,-2.0688,-0.4496,0.2086
195,-54.8531,-8.3642,1.9802,342.6745,-1.8904,-0.5897,0.2001
194,-54.6832,-8.4556,1.9802,342.8409,-1.8921,-0.5842,0.2001
193,-54.5132,-8.5458,1.9802,343.0061,-1.8938,-0.5788,0.2001
192,-54.3430,-8.6347,1.9802,343.1702,-1.8954,-0.5733,0.2001
191,-54.1726,-8.7225,1.9802,343.3332,-1.8970,-0.5679,0.2001
190,-54.0021,-8.8090,1.9802,343.4950,-1.8986,-0.5626,0.2001
189,-53.8463,-9.1717,2.0830,334.0324,-1.8727,-0.9121,0.2209
188,-53.6885,-9.5306,2.2414,325.7557,-1.8528,-1.2613,0.2471
187,-53.5288,-9.8857,2.4441,318.7948,-1.8388,-1.6101,0.2771
186,-53.3673,-10.2372,2.6808,313.0696,-1.8307,-1.9584,0.3099
185,-53.2040,-10.5849,2.9430,308.4069,-1.8283,-2.3062,0.3447
184,-53.0388,-10.9290,2.9430,308.9033,-1.8482,-2.2903,0.3447
183,-52.8719,-11.2693,2.9430,309.3960,-1.8679,-2.2743,0.3447
182,-52.7033,-11.6059,2.9430,309.8853,-1.8872,-2.2583,0.3447
181,-52.5329,-11.9389,2.9430,310.3710,-1.9063,-2.2422,0.3447
180,-52.3608,-12.2681,2.9430,310.8532,-1.9251,-2.2261,0.3447
179,-52.2252,-12.8071,3.1179,306.8600,-1.8703,-2.4947,0.3686
178,-52.0854,-13.3415,3.3108,303.3932,-1.8222,-2.7642,0.3939
177,-51.9415,-13.8713,3.5184,300.4039,-1.7806,-3.0345,0.4202
176,-51.7934,-14.3963,3.7381,297.8377,-1.7456,-3.3055,0.4474
175,-51.6411,-14.9165,3.9677,295.6413,-1.7170,-3.5770,0.4754
