Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,15.6953,17.6205,2.5905,22.9492,-2.3855,1.0101,0.2584
199,15.8057,17.7104,2.3750,25.0393,-2.1518,1.0052,0.2440
198,15.9159,17.8007,2.1629,27.5284,-1.9180,0.9997,0.2308
197,16.0258,17.8913,1.9554,30.5365,-1.6842,0.9935,0.2189
196,16.1354,17.9824,1.7541,34.2297,-1.4503,0.9867,0.2086
195,16.2448,18.0738,1.5615,38.8383,-1.2163,0.9792,0.2001
194,16.3539,18.1656,1.5615,39.0068,-1.2134,0.9828,0.2001
193,16.4628,18.2578,1.5615,39.1757,-1.2105,0.9864,0.2001
192,16.5714,18.3504,1.5615,39.3448,-1.2075,0.9899,0.2001
191,16.6797,18.4434,1.5615,39.5141,-1.2046,0.9935,0.2001
190,16.7878,18.5367,1.5615,39.6838,-1.2017,0.9971,0.2001
189,16.7856,18.6925,1.4792,49.9900,-0.9510,1.1329,0.2209
188,16.7825,18.8482,1.4468,61.1361,-0.6984,1.2671,0.2471
187,16.7785,19.0039,1.4681,72.3993,-0.4439,1.3994,0.2771
186,16.7735,19.1596,1.5413,83.0107,-0.1876,1.5299,0.3099
185,16.7676,19.3152,1.6601,92.4406,0.0707,1.6586,0.3447
184,16.7608,19.4708,1.6601,92.7962,0.0810,1.6581,0.3447
183,16.7531,19.6263,1.6601,93.1518,0.0913,1.6576,0.3447
182,16.7444,19.7818,1.6601,93.5073,0.1016,1.6570,0.3447
181,16.7348,19.9372,1.6601,93.8628,0.1118,1.6563,0.3447
180,16.7243,20.0925,1.6601,94.2183,0.1221,1.6556,0.3447
179,16.5934,20.2758,1.7569,103.1985,0.4012,1.7105,0.3686
178,16.4610,20.4578,1.8895,111.1392,0.6814,1.7624,0.3939
177,16.3272,20.6386,2.0511,117.9982,0.9629,1.8111,0.4202
176,16.1919,20.8180,2.2357,123.8553,1.2455,1.8566,0.4474
175,16.0552,20.9962,2.4383,128.8430,1.5293,1.8991,0.4754
174,15.9172,21.1731,2.4383,129.3137,1.5448,1.8865,0.4754
173,15.7777,21.3486,2.4383,129.7835,1.5602,1.8737,0.4754
172,15.6368,21.5229,2.4383,130.2526,1.5755,1.8609,0.4754
171,15.4946,21.6958,2.4383,130.7210,1.5907,1.8480,0.4754
170,15.3511,21.8674,2.4383,131.1885,1.6057,1.8349,0.4754
169,15.2437,21.9245,2.2012,133.9684,1.5282,1.5843,0.4216
168,15.1361,21.9811,1.9704,137.3527,1.4493,1.3349,0.3681
167,15.0284,22.0374,1.7480,141.5526,1.3690,1.0869,0.3150
166,14.9205,22.0932,1.5372,146.8674,1.2873,0.8402,0.2626
165,14.8124,22.1487,1.3431,153.7106,1.2042,0.5949,0.2114
164,14.7042,22.2038,1.3431,153.8982,1.2061,0.5909,0.2114
163,14.5957,22.2585,1.3431,154.0856,1.2080,0.5870,0.2114
162,14.4871,22.3128,1.3431,154.2729,1.2099,0.5830,0.2114
161,14.3783,22.3667,1.3431,154.4599,1.2118,0.5791,0.2114
160,14.2694,22.4202,1.3431,154.6468,1.2137,0.5751,0.2114
159,13.9689,22.5862,1.8331,153.9091,1.6463,0.8062,0.2935
158,13.6669,22.7490,2.3235,153.7214,2.0833,1.0287,0.3757
157,13.3633,22.9086,2.8140,153.7954,2.5248,1.2426,0.4579
156,13.0583,23.0649,3.3045,154.0138,2.9704,1.4479,0.5401
155,12.7517,23.2180,3.7950,154.3202,3.4202,1.6445,0.6223
154,12.4438,23.3678,3.7950,154.8735,3.4359,1.6114,0.6223
153,12.1344,23.5145,3.7950,155.4253,3.4513,1.5783,0.6223
152,11.8237,23.6579,3.7950,155.9756,3.4663,1.5450,0.6223
151,11.5117,23.7981,3.7950,156.5245,3.4809,1.5118,0.6223
150,11.1984,23.9351,3.7950,157.0721,3.4952,1.4784,0.6223
149,11.4409,23.9472,2.5648,151.5528,2.2551,1.2217,0.4501
148,11.6835,23.9586,1.3943,136.7341,1.0153,0.9557,0.2822
147,11.9261,23.9695,0.7162,71.7665,-0.2241,0.6802,0.1354
146,12.1688,23.9797,1.5155,15.1213,-1.4631,0.3953,0.1369
145,12.4115,23.9893,2.7035,2.1429,-2.7016,0.1011,0.2843
144,12.6464,24.0334,2.6905,3.7005,-2.6849,0.1736,0.2717
143,12.8815,24.0769,2.6797,5.2716,-2.6683,0.2462,0.2609
142,13.1168,24.1199,2.6710,6.8539,-2.6519,0.3187,0.2520
141,13.3522,24.1623,2.6645,8.4447,-2.6356,0.3913,0.2452
140,13.5878,24.2042,2.6602,10.0414,-2.6194,0.4638,0.2408
139,13.8094,24.1843,2.6099,7.0837,-2.5900,0.3218,0.2403
138,14.0311,24.1633,2.5661,4.0007,-2.5599,0.1790,0.2427
137,14.2527,24.1412,2.5294,0.8018,-2.5292,0.0354,0.2478
136,14.4744,24.1181,2.5002,357.4997,-2.4979,-0.1091,0.2554
135,14.6961,24.0938,2.4790,354.1108,-2.4659,-0.2544,0.2655
134,14.9178,24.0685,2.4803,353.8471,-2.4660,-0.2658,0.2655
133,15.1395,24.0421,2.4817,353.5833,-2.4661,-0.2773,0.2655
132,15.3612,24.0146,2.4830,353.3192,-2.4661,-0.2889,0.2656
131,15.5829,23.9859,2.4843,353.0549,-2.4661,-0.3004,0.2656
130,15.8046,23.9562,2.4857,352.7902,-2.4660,-0.3120,0.2656
129,16.0013,23.9340,2.4294,352.8121,-2.4103,-0.3040,0.2579
128,16.1979,23.9108,2.3732,352.8458,-2.3547,-0.2956,0.2503
127,16.3946,23.8869,2.3169,352.8924,-2.2991,-0.2867,0.2427
126,16.5913,23.8620,2.2605,352.9527,-2.2435,-0.2773,0.2351
125,16.7879,23.8363,2.2042,353.0280,-2.1879,-0.2676,0.2275
124,16.9846,23.8097,2.2053,352.7938,-2.1879,-0.2766,0.2276
123,17.1813,23.7822,2.2064,352.5594,-2.1878,-0.2857,0.2276
122,17.3779,23.7538,2.2075,352.3248,-2.1878,-0.2948,0.2276
121,17.5746,23.7246,2.2087,352.0899,-2.1876,-0.3040,0.2276
120,17.7712,23.6944,2.2098,351.8549,-2.1875,-0.3131,0.2277
119,17.8410,23.5370,1.9927,342.6954,-1.9025,-0.5927,0.2305
118,17.9098,23.3790,1.8340,331.6694,-1.6143,-0.8703,0.2433
117,17.9776,23.2204,1.7503,319.1038,-1.3230,-1.1459,0.2644
116,18.0445,23.0611,1.7529,305.9311,-1.0286,-1.4194,0.2922
115,18.1104,22.9013,1.8420,293.3841,-0.7311,-1.6907,0.3249
114,18.1753,22.7408,1.8428,293.0014,-0.7201,-1.6963,0.3249
113,18.2392,22.5798,1.8437,292.6184,-0.7091,-1.7019,0.3250
112,18.3021,22.4182,1.8445,292.2349,-0.6980,-1.7073,0.3250
111,18.3640,22.2561,1.8453,291.8511,-0.6868,-1.7127,0.3250
110,18.4250,22.0933,1.8462,291.4668,-0.6756,-1.7181,0.3250
109,18.5342,21.8562,2.0330,292.2048,-0.7683,-1.8822,0.3693
108,18.6413,21.6179,2.2203,292.7208,-0.8576,-2.0480,0.4137
107,18.7462,21.3782,2.4079,293.0661,-0.9434,-2.2154,0.4583
106,18.8488,21.1374,2.5956,293.2776,-1.0257,-2.3843,0.5029
105,18.9491,20.8953,2.7833,293.3822,-1.1046,-2.5547,0.5476
104,19.0472,20.6521,2.7833,292.8159,-1.0793,-2.5655,0.5476
103,19.1430,20.4077,2.7833,292.2488,-1.0538,-2.5761,0.5476
102,19.2366,20.1622,2.7833,291.6809,-1.0282,-2.5864,0.5476
101,19.3278,19.9156,2.7833,291.1123,-1.0025,-2.5965,0.5476
100,19.4167,19.6679,2.7833,290.5430,-0.9767,-2.6063,0.5476
99,19.4064,19.4458,2.6593,286.1239,-0.7385,-2.5547,0.5280
98,19.3944,19.2238,2.5506,281.3404,-0.5015,-2.5008,0.5090
97,19.3806,19.0019,2.4591,276.2042,-0.2658,-2.4447,0.4906
96,19.3650,18.7802,2.3866,270.7493,-0.0312,-2.3864,0.4729
95,19.3477,18.5587,2.3347,265.0344,0.2021,-2.3260,0.4561
94,19.3287,18.3373,2.3347,264.5561,0.2215,-2.3242,0.4561
93,19.3080,18.1161,2.3347,264.0779,0.2409,-2.3223,0.4561
92,19.2854,17.8952,2.3347,263.6000,0.2603,-2.3202,0.4561
91,19.2612,17.6745,2.3347,263.1221,0.2796,-2.3179,0.4561
90,19.2352,17.4541,2.3347,262.6445,0.2989,-2.3155,0.4561
89,19.1110,17.2924,2.2496,256.4418,0.5274,-2.1869,0.4286
88,18.9860,17.1316,2.1914,249.8691,0.7542,-2.0575,0.4023
87,18.8601,16.9716,2.1619,243.0628,0.9794,-1.9273,0.3774
86,18.7334,16.8125,2.1619,236.1934,1.2029,-1.7964,0.3543
85,18.6058,16.6543,2.1911,229.4414,1.4247,-1.6647,0.3333
84,18.4774,16.4970,2.1911,229.1223,1.4339,-1.6567,0.3333
83,18.3482,16.3405,2.1911,228.8039,1.4431,-1.6487,0.3333
82,18.2182,16.1849,2.1911,228.4861,1.4522,-1.6407,0.3333
81,18.0873,16.0302,2.1911,228.1688,1.4613,-1.6326,0.3333
80,17.9556,15.8763,2.1911,227.8522,1.4703,-1.6245,0.3333
79,17.9591,15.8086,1.8578,230.8848,1.1720,-1.4414,0.2938
78,17.9624,15.7408,1.5322,235.2710,0.8729,-1.2592,0.2550
77,17.9655,15.6730,1.2207,242.0144,0.5728,-1.0779,0.2172
76,17.9685,15.6052,0.9378,253.1502,0.2718,-0.8975,0.1811
75,17.9713,15.5374,0.7187,272.3941,-0.0300,-0.7180,0.1481
74,17.9739,15.4696,0.7187,272.2399,-0.0281,-0.7181,0.1481
73,17.9763,15.4017,0.7187,272.0857,-0.0262,-0.7182,0.1481
72,17.9786,15.3339,0.7187,271.9315,-0.0242,-0.7183,0.1481
71,17.9807,15.2661,0.7187,271.7773,-0.0223,-0.7183,0.1481
70,17.9826,15.1982,0.7187,271.6230,-0.0204,-0.7184,0.1481
69,18.0327,15.0464,0.9055,277.8320,-0.1234,-0.8971,0.1867
68,18.0820,14.8942,1.0999,281.7609,-0.2242,-1.0768,0.2257
67,18.1303,14.7417,1.2984,284.3934,-0.3227,-1.2576,0.2649
66,18.1777,14.5888,1.4992,286.2310,-0.4190,-1.4394,0.3041
65,18.2243,14.4355,1.7014,287.5504,-0.5131,-1.6222,0.3434
64,18.2699,14.2819,1.7014,287.1948,-0.5030,-1.6254,0.3434
63,18.3147,14.1280,1.7014,286.8390,-0.4929,-1.6285,0.3434
62,18.3585,13.9737,1.7014,286.4829,-0.4827,-1.6315,0.3434
61,18.4014,13.8192,1.7014,286.1267,-0.4726,-1.6345,0.3434
60,18.4434,13.6643,1.7014,285.7702,-0.4624,-1.6374,0.3434
59,18.5275,13.5774,1.5951,290.2564,-0.5523,-1.4964,0.3164
58,18.6114,13.4902,1.5002,295.3818,-0.6431,-1.3554,0.2900
57,18.6949,13.4026,1.4194,301.1801,-0.7349,-1.2144,0.2642
56,18.7781,13.3146,1.3554,307.6371,-0.8277,-1.0733,0.2394
55,18.8611,13.2263,1.3108,314.6668,-0.9215,-0.9322,0.2158
54,18.9437,13.1376,1.3108,314.4572,-0.9180,-0.9356,0.2158
53,19.0260,13.0486,1.3108,314.2473,-0.9146,-0.9390,0.2158
52,19.1080,12.9592,1.3108,314.0372,-0.9112,-0.9423,0.2158
51,19.1897,12.8694,1.3108,313.8269,-0.9077,-0.9456,0.2158
50,19.2711,12.7793,1.3108,313.6164,-0.9042,-0.9490,0.2158
49,19.3623,12.6814,1.3376,313.6296,-0.9229,-0.9682,0.2197
48,19.4531,12.5831,1.3643,313.6337,-0.9415,-0.9875,0.2235
47,19.5435,12.4844,1.3911,313.6292,-0.9599,-1.0069,0.2274
46,19.6335,12.3852,1.4179,313.6165,-0.9781,-1.0265,0.2312
45,19.7232,12.2855,1.4447,313.5961,-0.9962,-1.0463,0.2351
44,19.8125,12.1855,1.4447,313.3663,-0.9920,-1.0503,0.2351
43,19.9014,12.0850,1.4447,313.1362,-0.9878,-1.0543,0.2351
42,19.9900,11.9840,1.4447,312.9058,-0.9836,-1.0582,0.2351
41,20.0782,11.8827,1.4447,312.6751,-0.9793,-1.0622,0.2351
40,20.1659,11.7809,1.4447,312.4441,-0.9750,-1.0661,0.2351
39,20.6344,11.6191,2.1791,326.4560,-1.8162,-1.2041,0.2965
38,21.1019,11.4534,2.9795,333.0308,-2.6555,-1.3512,0.3659
37,21.5682,11.2838,3.8042,336.6539,-3.4927,-1.5075,0.4396
36,22.0335,11.1102,4.6399,338.8634,-4.3277,-1.6731,0.5156
35,22.4977,10.9325,5.4814,340.2964,-5.1605,-1.8481,0.5931
34,22.9606,10.7508,5.4814,339.8955,-5.1474,-1.8842,0.5931
33,23.4224,10.5649,5.4814,339.4916,-5.1340,-1.9204,0.5931
32,23.8830,10.3748,5.4814,339.0847,-5.1203,-1.9568,0.5931
31,24.3424,10.1804,5.4814,338.6746,-5.1061,-1.9934,0.5931
30,24.8004,9.9817,5.4814,338.2613,-5.0916,-2.0302,0.5931
29,24.9894,9.9148,4.8264,338.4800,-4.4899,-1.7704,0.5196
28,25.1782,9.8473,4.1714,338.8165,-3.8895,-1.5074,0.4462
27,25.3669,9.7793,3.5166,339.3366,-3.2904,-1.2409,0.3729
