Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,14.0728,72.6193,1.3058,83.0439,-0.1581,1.2962,0.2584
199,14.0044,72.7095,1.2309,91.3827,0.0297,1.2306,0.2440
198,13.9356,72.7994,1.1844,100.5613,0.2171,1.1644,0.2308
197,13.8666,72.8891,1.1697,110.2069,0.4040,1.0977,0.2189
196,13.7973,72.9785,1.1877,119.8132,0.5905,1.0305,0.2086
195,13.7276,73.0677,1.2369,128.8859,0.7765,0.9628,0.2001
194,13.6577,73.1566,1.2369,129.0734,0.7796,0.9603,0.2001
193,13.5876,73.2452,1.2369,129.2607,0.7828,0.9577,0.2001
192,13.5171,73.3336,1.2369,129.4479,0.7859,0.9551,0.2001
191,13.4464,73.4217,1.2369,129.6349,0.7890,0.9526,0.2001
190,13.3754,73.5096,1.2369,129.8218,0.7921,0.9500,0.2001
189,13.0953,73.6082,1.5890,142.4797,1.2603,0.9677,0.2209
188,12.8149,73.7057,1.9888,150.3582,1.7285,0.9836,0.2471
187,12.5342,73.8021,2.4127,155.5775,2.1968,0.9976,0.2771
186,12.2532,73.8973,2.8500,159.2518,2.6652,1.0097,0.3099
185,11.9718,73.9915,3.2955,161.9714,3.1337,1.0199,0.3447
184,11.6902,74.0847,3.2955,162.1670,3.1371,1.0092,0.3447
183,11.4082,74.1767,3.2955,162.3620,3.1406,0.9985,0.3447
182,11.1260,74.2677,3.2955,162.5563,3.1439,0.9879,0.3447
181,10.8434,74.3576,3.2955,162.7500,3.1472,0.9772,0.3447
180,10.5605,74.4464,3.2955,162.9430,3.1505,0.9666,0.3447
179,10.1150,74.5227,3.6355,165.1957,3.5148,0.9289,0.3686
178,9.6692,74.5976,3.9798,167.0679,3.8789,0.8907,0.3939
177,9.2233,74.6711,4.3274,168.6472,4.2427,0.8519,0.4202
176,8.7771,74.7432,4.6775,169.9967,4.6064,0.8125,0.4474
175,8.3307,74.8140,5.0296,171.1631,4.9699,0.7727,0.4754
174,7.8842,74.8835,5.0296,171.3207,4.9720,0.7590,0.4754
173,7.4375,74.9517,5.0296,171.4777,4.9740,0.7454,0.4754
172,6.9905,75.0186,5.0296,171.6339,4.9760,0.7318,0.4754
171,6.5435,75.0842,5.0296,171.7895,4.9780,0.7183,0.4754
170,6.0962,75.1485,5.0296,171.9444,4.9799,0.7048,0.4754
169,5.8861,75.1581,4.4897,172.5527,4.4518,0.5819,0.4216
168,5.6761,75.1677,3.9506,173.3090,3.9237,0.4603,0.3681
167,5.4660,75.1772,3.4123,174.2831,3.3954,0.3399,0.3150
166,5.2559,75.1866,2.8755,175.5965,2.8670,0.2208,0.2626
165,5.0459,75.1959,2.3408,177.4807,2.3385,0.1029,0.2114
164,4.8358,75.2052,2.3408,177.5034,2.3385,0.1020,0.2114
163,4.6257,75.2143,2.3408,177.5261,2.3386,0.1010,0.2114
162,4.4156,75.2234,2.3408,177.5488,2.3386,0.1001,0.2114
161,4.2056,75.2324,2.3408,177.5714,2.3387,0.0992,0.2114
160,3.9955,75.2413,2.3408,177.5940,2.3387,0.0983,0.2114
159,3.3805,75.2763,3.2440,177.3017,3.2404,0.1527,0.2935
158,2.7654,75.3103,4.1473,177.1783,4.1423,0.2042,0.3757
157,2.1503,75.3433,5.0507,177.1330,5.0443,0.2526,0.4579
156,1.5351,75.3753,5.9540,177.1301,5.9465,0.2981,0.5401
155,0.9199,75.4064,6.8574,177.1527,6.8489,0.3406,0.6223
154,0.3046,75.4365,6.8574,177.2411,6.8494,0.3301,0.6223
153,-0.3107,75.4657,6.8574,177.3291,6.8499,0.3195,0.6223
152,-0.9261,75.4939,6.8574,177.4169,6.8504,0.3091,0.6223
151,-1.5415,75.5212,6.8574,177.5044,6.8509,0.2986,0.6223
150,-2.1569,75.5476,6.8574,177.5916,6.8513,0.2882,0.6223
149,-1.8946,75.5846,4.9073,176.3732,4.8975,0.3104,0.4501
148,-1.6323,75.6221,2.9629,173.4833,2.9437,0.3363,0.2822
147,-1.3701,75.6601,1.0554,159.7266,0.9900,0.3657,0.1354
146,-1.1079,75.6985,1.0428,22.4798,-0.9636,0.3987,0.1369
145,-0.8458,75.7374,2.9494,8.4890,-2.9171,0.4354,0.2843
144,-0.6741,75.7719,2.7491,9.0092,-2.7152,0.4305,0.2731
143,-0.5023,75.8064,2.5490,9.5841,-2.5134,0.4244,0.2634
