,X,Y,Z
0,-6055.915018066436,-3273.8252491525955,-32.25420986092274
1,-6113.21203152005,-3229.9854035076996,-33.329857881993576
2,-6060.08002696935,-3207.5751792243823,-29.247110880114747
3,-5982.081889337331,-3204.220077775659,-28.171462473838602
4,-6155.077114621169,-3197.9530396821456,-41.816165206218955
5,-6190.229421009931,-3171.0568439948606,-63.37960522199154
6,-6109.1171633313925,-3170.0392901967207,-31.827997474904976
7,-6029.625210336612,-3167.788802986455,-29.247111322622374
8,-5964.626051279787,-3152.908970518596,-27.111108846234686
9,-6220.221888327666,-3148.1086123425493,-83.16109298381991
10,-6153.6540944232365,-3135.9481211946477,-39.140176469594394
11,-6078.64301966642,-3130.227664140348,-31.827998115965443
12,-5842.258940818694,-3122.795355855667,-47.03403095846721
13,-6005.10492788739,-3121.9173306159,-30.090865574991483
14,-5784.097194050934,-3113.1915622308147,-32.28175373876962
15,-5709.351970029153,-3107.7130913571605,-46.083531509866305
16,-5862.34287099954,-3107.411919972467,-28.572959476522215
17,-5943.387558342323,-3107.0374356927823,-35.89677106696189
18,-6208.469194692249,-3105.840675679919,-193.208891079055
19,-6193.61743444694,-3105.3578459952673,-52.66216451345662
20,-6197.027976515239,-3102.7472178449066,-192.55343885729027
21,-5722.449099065632,-3097.666176698934,-34.20630064189305
22,-6175.886556168563,-3094.000377573544,-152.23253901450514
23,-6175.679905615221,-3093.925282238535,-83.25242095596036
24,-6126.940163063531,-3093.2187538317826,-43.24616841880737
25,-6044.758888356967,-3091.5572671313807,-36.468648805121006
26,-6212.139746088031,-3091.1797865514473,-219.19654795386322
27,-5813.885060392306,-3090.367853246267,-22.60122367470717
28,-6312.80413096205,-3089.9904326583223,-285.36627823450397
29,-6300.741379634039,-3085.5951418879545,-242.92933148860783
30,-6152.03777596318,-3085.3339011953376,-51.571162663496466
31,-6282.2530808723,-3078.858581819891,-232.63451930411492
32,-5747.88296587631,-3078.1556497304787,-24.772022848718507
33,-5905.803268791386,-3074.123104642542,-26.070556491674466
34,-6154.441136906547,-3072.145435561468,-66.56856034504804
35,-5990.346005114887,-3071.0493383086805,-41.591506449016094
36,-6109.64943264109,-3069.9302800059713,-45.6581915439873
37,-6242.363285233614,-3068.04492396453,-229.66348320848235
38,-5846.316160420101,-3065.518876800608,-14.36565370196439
39,-6083.35698363206,-3062.005600436387,-43.24616758103383
40,-6170.045565027018,-3060.188146991032,-94.46581974337118
41,-6171.450184296892,-3059.1118218728143,-155.7144595171829
42,-6215.970635381276,-3054.70732370454,-225.60730601586573
43,-5704.55093653907,-3051.7156978901,-31.236993185411393
44,-5782.360384178369,-3051.7077405473324,-14.33369361346314
45,-6057.526908102838,-3050.989326892517,-41.55404363667577
46,-6183.84029428598,-3049.6175860433964,-188.19901749328096
47,-5867.215602639953,-3049.5055517205647,-14.389678085016385
48,-6271.075647165177,-3046.066804703483,-232.51810196327608
49,-5943.113934332868,-3045.5447225256626,-43.08821098440981
50,-6188.020356288052,-3044.5231127905363,-203.74774208176757
51,-6029.472152189025,-3041.06377260229,-45.636834813103576
52,-6196.9267194688755,-3039.5897810473252,-217.53203855143045
53,-6172.526536718514,-3038.8776476474727,-153.38962504371776
54,-6170.1456178758,-3038.0101149984266,-87.88076584699803
55,-6312.878965172955,-3037.8831891199743,-284.47784605259835
56,-6302.487208009903,-3034.0920888031246,-235.82187339049204
57,-6008.873399486389,-3033.3089893863607,-39.01703787510996
58,-5731.285065108757,-3031.2391901008173,-23.422337593861073
59,-5892.535963949544,-3030.104881954867,-16.605166467076685
60,-6125.940381595677,-3029.402686370493,-49.69346514673566
61,-6146.5108930727465,-3029.3983576171886,-64.29911112041378
62,-6299.788009524642,-3024.0886851148944,-235.37272071806981
63,-5975.769072613169,-3020.532276183304,-44.086898749417
64,-6263.135937489363,-3019.7360360395646,-229.08079008599609
65,-6119.356156401534,-3019.504017576738,-46.81527753223389
66,-5959.210579433624,-3015.2618753136153,-39.86531560381263
67,-6312.633013704305,-3014.2563684827,-280.09508210796093
68,-5831.472809340153,-3014.033198066714,-13.370080350558567
69,-5915.805652960235,-3012.275454225653,-24.840735918796156
70,-6072.040001149046,-3008.440549325237,-44.57060757993344
71,-5761.496090628758,-3008.09961785817,-15.413441921553726
72,-6220.232586886154,-3004.084120438221,-226.49573834859382
73,-6074.860121722535,-3003.291048808293,-41.554043859628564
74,-6160.64317225301,-3002.833362273472,-75.90321528277633
75,-6353.53457981126,-3002.2727875341993,-329.8862399186563
76,-6162.718178813861,-3001.244685375321,-134.19871252665618
77,-6247.365545699137,-3000.9397519829413,-229.83758664717297
78,-5917.1440553747225,-2999.975200945782,-26.32041807562979
79,-6004.830437558364,-2998.272507289112,-43.235528808477966
80,-6197.2940996873285,-2995.715746858754,-212.63206519135167
81,-5700.501223417569,-2995.202743207754,-43.36044818901587
82,-6324.909819682541,-2991.8547639171607,-320.37795922138764
83,-5707.70957740379,-2989.6639712109886,-31.56275621265695
84,-6175.960138620704,-2987.932733332714,-159.60865135134213
85,-5947.955190533741,-2987.6422132557764,-38.23236521256081
86,-6309.6795420500885,-2986.311681936545,-261.2123817604454
87,-6027.309017553187,-2985.9649078978864,-35.54577894886995
88,-5877.742302013041,-2985.6568852152423,-15.702456787196468
89,-5633.587235015201,-2982.418830008311,-44.20662194016532
90,-5874.742476630716,-2980.8406828714146,-15.917293308137687
91,-6292.807099664516,-2980.1709316748984,-239.2686084738072
92,-6190.5475268259615,-2979.937840803556,-186.3131126008714
93,-5555.655481811911,-2979.759178741546,-43.66166737300762
94,-6151.044669874621,-2978.843121251171,-141.18670400896158
95,-5801.850147166791,-2977.1911799460736,-10.940646787610547
96,-6144.940499044832,-2976.616209709281,-76.73716358768576
97,-5725.535055375851,-2975.967188504515,-24.558772712874998
98,-5478.7177261672805,-2974.302581566467,-42.958501770664554
99,-6037.347236291694,-2973.366023152944,-37.89289482132625
100,-6203.032437193465,-2970.3790813034366,-223.53266059736922
101,-6121.945395373321,-2970.193965147659,-39.72810371090429
102,-5983.097584262126,-2969.8556390084846,-30.60862564971029
103,-6126.135942505162,-2969.755968545329,-39.70781897285474
104,-5833.486887837617,-2969.574783813995,-16.05358105293726
105,-5485.059803501848,-2969.441356030068,-33.2996345877645
106,-5573.680578474827,-2965.9311021349463,-32.894235351335965
107,-6293.272314015526,-2965.7625271684624,-245.45085613580522
108,-5661.293062090031,-2961.198067849281,-30.293495998026543
109,-5982.605325044744,-2961.0929942787798,-29.29573706596875
110,-6135.734911046011,-2959.625931768873,-58.14397500105383
111,-6232.392047025117,-2958.182784267145,-243.72941599672197
112,-6367.662101740424,-2957.6676100564573,-330.8760231730443
113,-6089.992592477573,-2956.5702229980025,-30.89285563030984
114,-5754.995467841797,-2953.330327455314,-19.93613180705205
115,-6354.849002938046,-2953.0042638718837,-281.77640842349683
116,-5786.407727058163,-2952.466553066461,-18.29380381647502
117,-5911.886512247384,-2952.347189765912,-19.30557850231139
118,-6145.857448248371,-2951.868203827464,-91.23942687647042
119,-6146.754562643373,-2951.1806717127756,-143.07833248254641
120,-5508.915402760253,-2951.1559517085284,-29.504745120278784
121,-5929.085404364549,-2950.1752833967444,-26.320417861250576
122,-6317.85720430005,-2946.9237318383775,-266.2362598560602
123,-6201.34992731105,-2946.884959067918,-229.8657426814137
124,-5431.930607927702,-2945.053634799218,-40.37985066572594
125,-5846.001618347613,-2943.374183024488,-13.21792279842282
126,-6189.726689728914,-2942.654664627279,-170.81054197256836
127,-6322.876966565126,-2941.3679941347723,-261.2123818309413
128,-6079.525438338594,-2941.059315202127,-26.29281776609696
129,-6046.621486788563,-2940.747661910417,-24.884591148865013
130,-6160.477962926619,-2940.663307962938,-158.99120484994214
131,-6244.341344419233,-2938.7519492087076,-246.66302468903507
132,-5895.131823570104,-2937.8036563749547,-18.01662944806668
133,-5743.538737508322,-2936.888268471117,-19.766502774975947
134,-5694.254455404847,-2935.9519026265357,-16.520122985598135
135,-6167.214127847605,-2934.461184566491,-158.36244392220388
136,-5531.939377103114,-2933.5079909347214,-22.657439196455442
137,-6020.096491905426,-2932.3669528727564,-25.587240347508043
138,-6291.122960500834,-2929.8110768496745,-243.2277420310088
139,-6095.266897188642,-2929.0020275723023,-33.813994452981206
140,-5623.110299186515,-2928.0107526674014,-27.126574426053423
141,-5454.654871411707,-2927.654934904716,-21.695707387389632
142,-5944.160281935068,-2927.589717433749,-26.96145068878144
143,-6262.135378399931,-2925.1283919422353,-237.43518560910348
144,-6139.702851505016,-2924.4484150137287,-145.49512374333472
145,-5997.408685819957,-2922.793945092581,-26.166464182553113
146,-6134.513629268571,-2922.5597899363397,-125.14210340876951
147,-6412.259841885164,-2922.103647389812,-334.4455826057529
148,-6132.787254033476,-2921.93147312634,-89.66242195675403
149,-5850.890270178784,-2921.6834126594067,-20.681926183152314
150,-6105.977824583111,-2920.7979129722844,-58.14397508652905
151,-6187.330641815737,-2920.0839044838126,-168.76272120791856
152,-6353.018327222173,-2919.9806301755343,-271.7206657240561
153,-5799.232458541871,-2919.339404454154,-23.46602487415879
154,-5551.822428355359,-2918.2675592291494,-19.358176653264167
155,-6118.835787731079,-2916.8538164131623,-69.86675473342007
156,-5687.532459027555,-2916.535986916053,-19.552724535067853
157,-5883.166775293744,-2914.9082233537383,-19.30557850231139
158,-6246.519568705102,-2913.5776066987146,-224.92353177528403
159,-5724.085678733955,-2913.1032327972553,-19.936132111976036
160,-6386.500564251581,-2912.7285203481265,-308.71160017798076
161,-6119.624181165941,-2910.3453845258614,-89.18819674107729
162,-6200.336668515812,-2910.1163227678007,-185.96503759848972
163,-5479.544096202094,-2908.5986450038545,-15.322167738914942
164,-6373.687465655353,-2908.0651742385808,-278.27676228188017
165,-6123.614187652424,-2907.2892093447254,-134.76291754019775
166,-5803.8258541317755,-2904.5346057380702,-21.765062715967133
167,-5945.908185867643,-2904.0056344513982,-26.320417895787102
168,-6083.492074285643,-2903.990419838567,-55.02000444753355
169,-6208.521745044725,-2903.843429359603,-206.7907045634586
170,-6211.75705836894,-2900.925739851931,-213.03942542341824
171,-6294.097396653056,-2900.657471717187,-221.93913608716718
172,-5575.5247144839805,-2900.099669983861,-21.325401299122774
173,-5641.281267700817,-2899.7286343535684,-24.96453151618914
174,-6133.755255176444,-2899.521583156114,-156.12932832281362
175,-5660.624676840158,-2899.2313403987982,-22.180472894822003
176,-6064.298767349848,-2898.498804693337,-31.584133797489415
177,-6061.161665026639,-2895.8632344930024,-29.193010556757883
178,-6385.574966441443,-2895.033280165464,-280.1880856088996
179,-6194.5532342121205,-2894.6643827064686,-172.79010819599742
180,-5502.577629497322,-2890.9631544808826,-9.764186443611266
181,-5992.138939843958,-2890.7848970731775,-30.79112699974354
182,-6325.272374051303,-2890.444430327228,-260.04583220476115
183,-5760.970291470701,-2888.91937386425,-19.766502720782114
184,-5757.290941540944,-2887.670280279648,-18.812069739318247
185,-5607.880955420431,-2887.591199444535,-24.96453151618914
186,-6316.538645175064,-2887.2657768367426,-237.39499991813247
187,-6312.394158612677,-2886.649013341853,-227.93567301235836
188,-6080.437200406169,-2886.133404119731,-62.1566883503877
189,-5921.673593220113,-2885.414643446899,-27.501324582315135
190,-6168.320281629587,-2885.1168609693245,-155.39309401015765
191,-5844.102439668943,-2884.862102779309,-29.16882621748016
192,-5595.710946171919,-2884.626849362422,-22.45896834192874
193,-5890.259242313861,-2883.703896811761,-26.900952485861353
194,-6302.176625106422,-2882.0386984755387,-215.53030767817094
195,-6022.461530002867,-2881.778263340503,-30.474883386331044
196,-5518.374047465984,-2878.8687191281897,-9.043575005358633
197,-6429.611613574101,-2877.6990920967764,-280.1804476132823
198,-6091.816631397413,-2877.4143901971674,-91.23942687647042
199,-6093.517134704473,-2876.11145053164,-133.84157513264668
200,-6412.886445028141,-2874.1051674384103,-269.79468772548313
201,-6247.454580438415,-2874.006014200336,-211.0103730454688
202,-6328.942529680561,-2873.9791667430027,-256.20049708970834
203,-5556.750520050604,-2869.0107644485356,-20.873494853871307
204,-5704.981553969601,-2868.5188222411994,-19.55272417725098
205,-5700.681187950276,-2868.5017130030465,-18.228127385825132
206,-6264.2618274965835,-2868.23955203175,-210.92494930623263
207,-5617.28514896891,-2868.0901437955354,-23.522340157246987
208,-6177.653299250795,-2865.8975493970374,-157.7921928358395
209,-5785.858648943443,-2865.7893769382727,-25.294500550973794
210,-6114.766269108841,-2865.6257992200062,-158.36230739782107
211,-6393.162337105383,-2864.3701539080425,-269.88524690171965
212,-6109.273008509433,-2864.039170013105,-156.66435660097974
213,-5834.020742287329,-2863.1870783445424,-29.760953477171768
214,-5968.517488587917,-2862.145250000573,-29.767153400784423
215,-6429.099526123814,-2861.6814830982903,-284.3149374405577
216,-6032.436856948678,-2859.8720357180114,-36.09514442533225
217,-5545.157339852997,-2858.3622474110166,-13.589449832206213
218,-6092.835287473613,-2857.6439861465265,-133.06037008765003
219,-5880.581794479559,-2856.8320102961507,-31.122207590498704
220,-6227.306909690442,-2854.789755256551,-204.87358592677643
221,-5513.7775713359815,-2853.3947018352756,-16.327619879138183
222,-6361.587217933345,-2852.8236198607287,-257.2486613051851
223,-5658.744848108924,-2851.6716071245514,-24.964531765376023
224,-6076.2273486684635,-2851.5995023526243,-82.7339381857318
225,-5638.923316200643,-2851.50440925483,-24.105252605882526
226,-5966.679335245312,-2850.9433336849506,-28.091756490028672
227,-6202.779227010866,-2846.6521579212385,-177.37940682945745
228,-5811.282987533153,-2846.316078386106,-32.55352121495761
229,-6203.525863730217,-2846.1346085465902,-179.78939998976966
230,-6342.350212459306,-2845.7889436821806,-232.91952405737234
231,-6059.477525413587,-2845.503379504229,-38.10106070759366
232,-5779.486611053849,-2843.2920443330213,-29.539258295161005
233,-5734.205609363301,-2842.7832230464846,-24.79008620452049
234,-5482.239866185485,-2841.9341250529073,-32.52682763581345
235,-5912.043290797818,-2841.591382520641,-30.347687946362157
236,-6290.412287089032,-2841.0840110977265,-211.54252850025748
237,-6372.331189126599,-2840.7597243546306,-255.2997034308795
238,-5568.423118585584,-2840.5489395225086,-18.590992608470458
239,-5625.354996761666,-2839.5053855503943,-24.964531765376023
240,-6059.870331325319,-2838.8275934533694,-39.621665950848694
241,-6213.995289979649,-2838.061130966426,-198.20507424580578
242,-6180.581522174583,-2837.783981637261,-156.55964275688513
243,-6320.115084199864,-2837.6579002458857,-220.00578204674505
244,-6147.219994748924,-2834.963876037856,-156.98965018625765
245,-5663.674523875392,-2832.532517797535,-25.229536726458633
246,-6068.332769161688,-2832.3359882698414,-54.01588990562681
247,-5453.8895387779385,-2831.6318185753435,-45.316004541448024
248,-6070.868388525816,-2830.3908939452613,-102.82369000600369
249,-6157.482185053986,-2829.3769438637332,-157.17015436769418
250,-5997.570971842796,-2827.2824600655545,-30.42646593811247
251,-6390.116884353218,-2827.142551446751,-258.29622214780017
252,-5589.460905698297,-2826.4266970429717,-23.187667275318972
253,-5587.958834305072,-2825.5915326403483,-22.23301460477765
254,-6284.323020967396,-2824.5692948003903,-212.6032524531485
255,-6422.844006128542,-2824.4340427028365,-272.0646188865409
256,-5922.919804396307,-2824.3002306174735,-30.537821115805173
257,-5995.66475243871,-2822.2786267750707,-28.495316410600253
258,-5720.167458900713,-2821.6513484435327,-31.10234454695376
259,-5854.169650169654,-2820.5281857582245,-31.4843215851252
260,-6238.16822129136,-2819.5456942170294,-209.5794349336415
261,-6085.46896460322,-2819.1906727821315,-125.1812982503177
262,-5848.477358534178,-2817.827742754193,-32.39146876021317
263,-5409.376892251916,-2815.4562407752624,-24.427224026071826
264,-6117.161676343044,-2814.7022353207562,-158.362307887283
265,-5687.508857142675,-2814.263413936183,-25.577849117028677
266,-5771.5649862044165,-2814.1227207149427,-31.27251759411348
267,-6390.36834843808,-2812.5848162482084,-252.83136799196848
268,-5607.558540271859,-2810.585131998293,-24.105252605882526
269,-6412.055823205559,-2810.3455513879267,-269.1114629358036
270,-6242.660013053942,-2809.3337754420904,-203.7547168619865
271,-6181.473843738109,-2808.7182942976165,-160.52601071523432
272,-6333.79082382801,-2807.839491488652,-212.4854451557455
273,-6023.519946601227,-2807.4073262125894,-36.652357973343726
274,-6096.326899107443,-2807.1193874533797,-140.05966133957367
275,-6101.484402465871,-2806.905099587272,-152.54296196538294
276,-5383.276722228455,-2805.9716254185223,-24.427224026071826
277,-5530.193919098939,-2804.83165358197,-26.74139625543313
278,-6362.793484755564,-2802.52371733702,-214.20285453277245
279,-6222.044646865205,-2801.7950540108545,-201.0479062750566
280,-5939.185676652524,-2801.722983941277,-26.95612253917352
281,-5664.756550072086,-2801.4364501620316,-31.18355818074923
282,-6075.334145186206,-2799.479043738545,-116.56384627190258
283,-5795.571683733359,-2799.201369550907,-32.12430985276632
284,-6428.44486413714,-2797.7976919246853,-280.93050797061346
285,-6203.31633265549,-2794.9463983813052,-180.05588688355903
286,-6272.425467818235,-2793.3061011326154,-209.63461076651183
287,-5632.320023725933,-2791.626646507075,-25.229536726458633
288,-5717.610484786782,-2791.190405949807,-27.917849568594193
289,-5967.10301189578,-2790.3506336785404,-30.230098519337673
290,-6206.278819552744,-2789.7125171508433,-181.88670657833455
291,-5336.513918318347,-2788.9783564976174,-39.46934493885021
292,-6044.982252445354,-2788.432427663018,-92.15786456040527
293,-6185.483923046528,-2788.425361245272,-158.28902279763224
294,-6125.60915915033,-2788.3988016891494,-163.13877517367928
295,-6044.33367483579,-2788.1963768865735,-42.76725504464682
296,-5480.109141569189,-2786.58232103532,-41.844745504098114
297,-6051.028138208494,-2786.3379392584943,-48.714553665793574
298,-6051.801972092729,-2785.7452356094177,-108.57860201285422
299,-6362.796781390583,-2785.6098544962524,-215.6829373591269
300,-5321.288819053847,-2783.445664175607,-79.96736406194236
301,-5883.702321851277,-2781.5297352267853,-29.788538909341185
302,-6304.124149261694,-2781.117338170338,-210.32047600103658
303,-5898.255011850835,-2779.7014764270966,-33.076342749582665
304,-5736.235976939525,-2777.6060516536713,-31.102344108456066
305,-6011.214604216511,-2776.142642345762,-35.49460818031335
306,-6378.136326723874,-2773.853906648232,-241.56155418172082
