,PROFILE,X,Y,Z,S
1019,AR,-6234.501769030055,-3264.707507218338,-134.1031237478741,4.0
799,AL,-5738.47524705619,-3264.07849476962,-20.13056049823342,4.0
891,AN,-5910.402199999231,-3259.1464565854303,-30.348842271930835,4.0
744,AK,-5674.092448099806,-3251.6037332573683,-19.0927524893944,4.0
957,AP,-6088.68269677014,-3248.7536112098096,-145.74115146331414,4.0
596,AI,-5529.224320911975,-3245.890482236232,-42.66746379178278,4.0
847,AM,-5853.6645529526295,-3237.8638676753258,-23.14092335554693,4.0
890,AN,-5939.251044083099,-3237.040298578795,-54.01177359059852,4.0
595,AI,-5541.14766440914,-3236.7439880524244,-29.838862144716984,4.0
985,AQ,-6185.339374817042,-3236.337593946713,-132.28626463665597,4.0
673,AJ,-5628.833094777256,-3232.156196251905,-23.585520519446447,4.0
798,AL,-5781.079858447234,-3231.427097435743,-21.961197645866093,4.0
743,AK,-5709.2186294674575,-3224.6985730608703,-23.06234290994388,4.0
984,AQ,-6210.896704331279,-3216.7937537299435,-146.00841845965522,4.0
594,AI,-5573.302962556646,-3212.07739620638,-25.628307922796296,4.0
846,AM,-5888.314014542614,-3211.335373645494,-31.560965797674896,4.0
956,AP,-6150.0958436794635,-3201.7643753179304,-144.84199269062213,4.0
983,AQ,-6233.265464831626,-3199.6882309943835,-160.0881947946591,4.0
672,AJ,-5671.359576186616,-3199.572055289919,-23.669182789231968,4.0
797,AL,-5823.7180004208685,-3198.750002874752,-23.140923546468116,4.0
742,AK,-5756.4869266275155,-3188.493068853166,-24.16003465873419,4.0
845,AM,-5921.761008439407,-3185.7275189432617,-41.07662470226717,4.0
593,AI,-5615.006667746741,-3180.0861433287687,-27.29767273718045,4.0
955,AP,-6188.65758755196,-3172.259505914277,-161.0268464091616,4.0
982,AQ,-6276.207498126498,-3166.8502055335994,-161.92600490038734,4.0
796,AL,-5867.294066991801,-3165.3541000041514,-31.734374505009043,4.0
741,AK,-5796.2244578653035,-3158.055810883796,-34.1351067899582,4.0
671,AJ,-5728.405721704561,-3155.862827879313,-30.759684808374175,4.0
592,AI,-5649.028331992064,-3153.987846805038,-34.685980195839136,4.0
524,AH,-5574.565287109133,-3151.275784769647,-34.68287593918717,4.0
795,AL,-5893.472829596888,-3145.291173677176,-55.921577850412575,4.0
740,AK,-5829.335802774302,-3132.693929676904,-47.12623133777049,4.0
670,AJ,-5759.034779012694,-3132.3945914349674,-48.80185319903791,4.0
591,AI,-5677.282621717183,-3132.3137503823477,-46.039822346591166,4.0
523,AH,-5601.77422182156,-3130.4356080597618,-45.738684963253036,4.0
954,AP,-6246.500202944754,-3128.002202127054,-161.92600518185364,4.0
