,X,Y,Z
0,-5872.031015596027,-2370.784825511438,-196.16438006625683
1,-5822.848578609642,-2352.75014162678,-187.47961663578343
2,-5773.699313960883,-2334.7276216904634,-178.44065166883428
3,-5739.868148738568,-2322.3220881785114,-178.4316517159264
4,-5871.282467457748,-2317.362384892694,-176.0088386327018
5,-5699.612240715671,-2307.560668855516,-180.34242068096444
6,-5819.880857413222,-2298.516542729383,-176.96932155635884
7,-5660.17345002978,-2293.09887789119,-223.10525814135025
8,-5780.565581486001,-2284.1020237271655,-174.88385132822063
9,-5762.025119249347,-2277.3043645751636,-165.7018358134183
10,-5757.624042802622,-2275.690757686356,-141.09215570965353
11,-5746.014107890987,-2271.4341011209012,-117.70925671369807
12,-5703.718354531066,-2255.926822432375,-104.37633986770373
13,-6161.7504393881545,-2233.8168003500828,-120.0045867702936
14,-5774.314876571642,-2232.467303529,-100.95724338123034
15,-5636.986439694286,-2231.4602904856115,-105.33682279136076
16,-6139.833421540302,-2225.765650936586,-111.56162594855113
17,-5730.302506603052,-2216.222394441881,-101.90696367147166
18,-6093.756688300349,-2208.8395040321134,-111.56162594855113
19,-5572.3303482745,-2207.75483665375,-104.01219063218332
20,-5946.813561573497,-2204.307812036101,-114.97046366261563
21,-5546.987133607432,-2198.4630221928264,-118.74338576252163
22,-5925.814296840632,-2196.5881230660766,-96.31164096658051
23,-5676.516775154908,-2196.3701502163854,-103.41585694404671
24,-5907.428450326742,-2189.829171343557,-80.0492052514171
25,-6040.000500008684,-2189.0923328229305,-112.92516083720221
26,-5761.382767567063,-2180.642799447495,-99.44871898584529
27,-5879.508086569158,-2179.565167966278,-61.01878243001818
28,-6001.603222238969,-2174.9872103769126,-114.9704636160495
29,-6139.490262102746,-2174.3556620743493,-124.92928196182979
30,-5616.3585248112395,-2174.165817471512,-104.97405533513762
31,-6121.272614397087,-2167.64487552155,-112.10348913045044
32,-5845.858518208666,-2167.1950109620648,-59.54037902740026
33,-5716.150061841075,-2164.0316452033685,-101.91819642550212
34,-5967.685627105909,-2162.527685634156,-114.9704636160495
35,-5566.2926711304135,-2155.6865753403918,-107.32963553474531
36,-5808.251305696596,-2153.3699562605802,-62.718044479171795
37,-5942.727396827636,-2153.359356144178,-113.60692872739841
38,-5671.357034385837,-2147.5819573905783,-102.91969249437801
39,-5543.987523183169,-2147.453773952139,-123.5624119156314
40,-6065.417815186784,-2147.0697913226527,-114.63298927121718
41,-5786.74333411332,-2145.4632579494173,-81.19808508405788
42,-5915.849302263277,-2143.485770385842,-89.06329493536032
43,-5765.28829602213,-2137.5760188955273,-98.46803529837888
44,-5637.542203817995,-2135.1638772141646,-103.04608546734829
45,-5885.771434865337,-2132.436757872313,-63.15612625467111
46,-6023.5507802872635,-2131.6473427525234,-114.63298927121718
47,-5733.230124127566,-2125.790886457709,-100.31299603156685
48,-5599.731602145555,-2121.278399298055,-106.02976139804696
49,-5849.2940209631815,-2119.036891540909,-62.474358810345564
50,-5981.6837449867135,-2116.224894034667,-114.63298927121718
51,-5692.989403334269,-2110.9977090581365,-98.46499188539661
52,-5563.138333811248,-2107.839972061794,-108.86474983102744
53,-5811.536697676479,-2105.166854415181,-61.11082347582385
54,-5543.993122126504,-2100.8091287985526,-129.66722828822023
55,-5939.756190245708,-2100.7801519310933,-112.33788643107928
56,-5647.592653690882,-2094.3090872442235,-95.76074851571207
57,-5776.339193158872,-2092.237158878101,-74.74617548342928
58,-5913.265057804272,-2091.0216837562375,-83.44666646962054
59,-5509.852771402918,-2088.271505352953,-83.40862492688228
60,-5630.247515265389,-2087.932717619373,-78.75911088503551
61,-5494.067071550501,-2082.474401445695,-64.04275052594471
62,-5608.898783250256,-2080.08455849772,-59.35922869484267
63,-5881.307705714467,-2079.249638751728,-61.49563577642027
64,-5727.702641568349,-2074.370670538726,-54.97491513928196
65,-5468.751389568135,-2073.1775289403936,-59.139334526696814
66,-5447.157532340505,-2065.2474507508036,-52.58313794581284
67,-5559.3666304228,-2061.8756917251017,-54.26727661241449
68,-5821.206861599446,-2057.1104502562966,-57.19370338938745
69,-5678.426135076289,-2056.2690967253156,-52.929612360434646
70,-5408.4935818705435,-2051.0485909957747,-55.525187841910224
71,-5523.762694630177,-2048.78707581763,-50.21127806123877
72,-5773.9452727204125,-2039.7008241488156,-52.737276743912105
73,-5631.069492870314,-2038.8727791802637,-48.1572389125439
74,-5916.307495809279,-2037.808670841446,-93.15099849169587
75,-5491.458977887728,-2036.9116768929623,-42.241485544345835
76,-5366.14987036849,-2035.498384309261,-58.822380897562596
77,-5461.6253399888865,-2025.9443212091724,-34.11026747255994
78,-5880.642434005137,-2024.688853949351,-70.73176169062486
79,-5335.781979631107,-2024.3461503446758,-48.296262823790755
80,-5576.033394775575,-2018.6554370230128,-44.06663335484933
81,-5705.869074800541,-2014.6237757313938,-51.53809603401385
82,-5555.554846715433,-2011.1327050825523,-33.84011946061287
83,-5294.553108491359,-2009.205355054597,-34.520535884856656
84,-5407.949186702958,-2006.2120489726951,-29.68103270449751
85,-5825.098823049257,-2004.256476479525,-93.63970058057453
86,-5532.516479886193,-2002.669631553444,-28.38597856839658
87,-5266.053407678699,-1998.739190837528,-33.52577146950267
88,-5805.516146983429,-1997.0527563331318,-66.89194832990205
89,-5368.591709696106,-1991.7435670995042,-26.812763341180982
90,-5924.2596160745825,-1989.6085792440663,-225.54235477416054
91,-5637.3325092547875,-1989.377142913009,-47.61361056959123
92,-5918.7765519423265,-1987.5918200230067,-177.74253244655324
93,-5232.912879035841,-1986.5687397406327,-55.591144207489776
94,-6049.857810525264,-1985.0731030836698,-224.1415439215602
95,-5483.239973812659,-1984.5680578937784,-27.022443679745493
