Latitude,Longitude,Sample,SiO2,Al2O3,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,V,Cr,Co,Ni,Cu,Pb,Zn,Rb,Sr,Cs,Y,Zr,Nb,Ba,Hf,Ta,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,SOM_Cluster,Plumbing_System,Geochemical_Group,Province,LaYb,Xwmerckm,Ywmerckm,LaYb10plus,LaYb10minus,HT,LT,X,S1,S2,S3,S4
-27.61,-48.46,FL-9,53.82,14.39,12.24,0.15,4.51,7.46,2.96,1.69,3.52,0.49,1.8,,64,40,60,,,,41,665,,-3180.09434042109,289,30.73,560,7.99,2.21,4.6,0.8,46,99,,45,10,3.3,,1.48,,,,,2.7,0.31,SA1,Florianópolis dike swarm,HT,Paraná,17.037037037037,-5394.54252384204,-3180.09434042109,17.037037037037,,3.52,,-5394.54252384204,,,,
-27.61,-48.45,FL-11,53.51,14.12,13.07,0.15,4.53,7.14,2.98,1.86,3.45,0.51,2.3,,50,,45,,,,57,582,,-3180.09434042109,318,29.03,559,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5393.4293289341,-3180.09434042109,,,3.45,,-5393.4293289341,,,,
-27.62,-48.43,FL-12,53.56,14.43,12.57,0.15,3.87,6.89,3.15,2.12,3.91,0.62,1.63,,35,37.18,46,,,,56,769,,-3181.34403871711,335,33.29,683,9.71,2.18,4.48,1,47.5,102.63,,59.69,11.28,3.71,,1.43,,,,,2.76,0.37,SA1,Florianópolis dike swarm,HT,Paraná,17.2101449275362,-5391.20293911824,-3181.34403871711,17.2101449275362,,3.91,,-5391.20293911824,,,,
-27.6,-48.43,FL-13,52.12,14.35,13.39,0.16,4.75,7.33,3.14,1.72,3.76,0.63,1.91,,32,43.12,61,,,,45,871,,-3178.84475739622,220,28.17,700,7.22,2.11,4.23,0.93,42.48,92.54,,54.18,9.86,3.55,,1.39,,,,,2.3,0.37,SA1,Florianópolis dike swarm,HT,Paraná,18.4695652173913,-5391.20293911824,-3178.84475739622,18.4695652173913,,3.76,,-5391.20293911824,,,,
-27.6,-48.42,FL-14,50.39,13.61,16.47,0.19,5.11,7.61,3.24,1.34,3.32,0.38,2.75,,40,46,52,,,,68,454,,-3178.84475739622,252,21.34,288,5.5,1.23,2.93,0.83,30,62,,33,8.2,2.8,,1.39,,,,,2.9,0.45,SA1,Florianópolis dike swarm,HT,Paraná,10.3448275862069,-5390.08974421031,-3178.84475739622,10.3448275862069,,3.32,,-5390.08974421031,,,,
-27.6,-48.42,FL-16,53.03,14.32,14.38,0.2,4.15,6.99,3.17,1.63,3.12,0.47,2,,24,42,29,,,,84,410,,-3178.84475739622,281,23.05,397,6.4,1.36,3.7,0.84,33.2,71,,42,8.49,2.6,,1.13,,,,,3.3,0.41,SA1,Florianópolis dike swarm,HT,Paraná,10.0606060606061,-5390.08974421031,-3178.84475739622,10.0606060606061,,3.12,,-5390.08974421031,,,,
-27.6,-48.42,FL-18,53.25,14.22,14.63,0.19,3.87,6.94,3.16,1.63,3.1,0.49,1.94,,19,42.26,33,,,,50,407,,-3178.84475739622,290,23.9,453,6.84,1.49,4.15,0.98,32.99,63.46,,39.41,8.81,2.77,,1.47,,,,,2.98,0.51,SA1,Florianópolis dike swarm,HT,Paraná,11.0704697986577,-5390.08974421031,-3178.84475739622,11.0704697986577,,3.1,,-5390.08974421031,,,,
-27.63,-48.44,FL-19,55.77,13.89,13,0.18,2.92,6.15,3.3,2.31,2.71,1.08,1.74,,1,26,6,,,,61,516,,-3182.59385234369,427,36,705,10.3,2.46,5.9,1.47,58,121,,63,14,4,,2.1,,,,,4.1,0.66,SA2,Florianópolis dike swarm,HT,Paraná,14.1463414634146,-5392.31613402617,-3182.59385234369,14.1463414634146,,2.71,,-5392.31613402617,,,,
-27.63,-48.44,FL-20,50.68,16.59,12.25,0.17,5.47,10.52,2.92,0.72,1.74,0.17,2.29,,146,40,81,,,,32,375,,-3182.59385234369,141,11.95,187,3.1,0.66,1.24,,15,29,,16,4.4,1.5,,0.9,,,,,2.2,0.34,SA3,Florianópolis dike swarm,LT,Paraná,6.81818181818182,-5392.31613402617,-3182.59385234369,,6.81818181818182,,1.74,-5392.31613402617,,,,
-27.63,-48.44,FL-21,52.34,13.67,13.74,0.16,4.3,7.5,3.12,1.89,4.22,0.45,0.84,,61,42,64,,,,45,786,,-3182.59385234369,320,35,647,9,2.42,4.7,1.03,51,109,,56,11.11,3.5,,1.48,,,,,2.8,0.34,SA1,Florianópolis dike swarm,HT,Paraná,18.2142857142857,-5392.31613402617,-3182.59385234369,18.2142857142857,,4.22,,-5392.31613402617,,,,
-27.63,-48.44,FL-25,53.18,14.37,12.94,0.16,3.91,7.23,3.07,1.85,4.03,0.57,1.46,,49,41,58,,,,39,721,,-3182.59385234369,324,35,687,9,2.43,4.6,1.09,47.8,104,,47,11,3.6,,1.52,,,,,3.2,0.37,SA1,Florianópolis dike swarm,HT,Paraná,14.9375,-5392.31613402617,-3182.59385234369,14.9375,,4.03,,-5392.31613402617,,,,
-27.63,-48.44,FL-28,53.41,13.93,12.16,0.15,5.08,8.1,2.72,1.67,3.46,0.55,1.66,,77,37.65,66,,,,41,687,,-3182.59385234369,291,28.17,532,8.68,1.83,4.49,0.96,42.74,88.19,,43.22,9.91,3.16,,1.29,,,,,2.4,0.35,SA1,Florianópolis dike swarm,HT,Paraná,17.8083333333333,-5392.31613402617,-3182.59385234369,17.8083333333333,,3.46,,-5392.31613402617,,,,
-27.63,-48.44,FL-29,52.96,14.02,13.03,0.16,4.64,8.2,2.99,1.29,3.65,0.38,2.08,,81,41.82,69,,,,36,645,,-3182.59385234369,316,30.73,495,8.5,2.1,4.68,0.96,43.63,96.26,,50.96,10.11,3.57,,1.57,,,,,2.1,0.37,SA1,Florianópolis dike swarm,HT,Paraná,20.7761904761905,-5392.31613402617,-3182.59385234369,20.7761904761905,,3.65,,-5392.31613402617,,,,
-27.63,-48.44,FL-30,50.42,16.98,12.14,0.18,5.21,10.91,2.81,0.56,1.83,0.19,1.61,,136,38,75,,,,15,303,,-3182.59385234369,150,12,145,2.9,0.63,1.17,0.4,12.4,27,,18,3.9,1.5,,0.75,,,,,2.2,0.27,SA3,Florianópolis dike swarm,LT,Paraná,5.63636363636364,-5392.31613402617,-3182.59385234369,,5.63636363636364,,1.83,-5392.31613402617,,,,
-27.63,-48.44,FL-31,50.79,16.49,12.1,0.17,5.47,10.94,2.81,0.58,1.71,0.16,2.05,,146,40,73,,,,16,344,,-3182.59385234369,140,12.81,164,3.5,0.73,1.33,0.41,13.6,31,,18,4.4,1.7,,0.82,,,,,2.5,0.47,SA3,Florianópolis dike swarm,LT,Paraná,5.44,-5392.31613402617,-3182.59385234369,,5.44,,1.71,-5392.31613402617,,,,
-27.65,-48.48,FL-46,53.14,14.43,12.71,0.16,4.19,6.76,3.2,1.95,4.05,0.69,1.82,,56,,58,,,,44,693,,-3185.09382582634,279,26.47,672,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5396.7689136579,-3185.09382582634,,,4.05,,-5396.7689136579,,,,
-27.65,-48.47,FL-48,52.2,14.09,13.93,0.17,3.76,7.51,3.16,1.89,4.22,0.48,0.74,,61,40,65,,,,37,740,,-3185.09382582634,289,27.32,649,7.8,2.25,4.63,0.97,48,98,,56,10.4,3.7,,1.54,,,,,3,0.39,SA1,Florianópolis dike swarm,HT,Paraná,16,-5395.65571874997,-3185.09382582634,16,,4.22,,-5395.65571874997,,,,
-27.65,-48.47,FL-49,52.48,14.49,13.55,0.16,3.4,7.33,3.13,1.91,4.35,0.57,0.9,,48,39.8,54,,,,36,744,,-3185.09382582634,297,28.17,657,8.42,2.25,4.53,1.06,47.21,97.93,,52.79,11.06,3.69,,1.48,,,,,2.52,0.44,SA1,Florianópolis dike swarm,HT,Paraná,18.734126984127,-5395.65571874997,-3185.09382582634,18.734126984127,,4.35,,-5395.65571874997,,,,
-27.65,-48.47,FL-51,52.89,14.58,13.13,0.16,3.31,7.37,3.07,2.07,4.02,0.72,1.36,,35,37.22,56,,,,44,751,,-3185.09382582634,296,28.17,696,10.08,2.12,4.53,0.94,49.2,107.57,,54.92,7.46,3.86,,1.44,,,,,2.95,0.43,SA1,Florianópolis dike swarm,HT,Paraná,16.6779661016949,-5395.65571874997,-3185.09382582634,16.6779661016949,,4.02,,-5395.65571874997,,,,
-27.65,-48.47,FL-54,52.1,14.48,13.06,0.15,3.62,8.08,2.94,1.97,4.2,0.72,1.35,,55,34.52,61,,,,38,809,,-3185.09382582634,287,27.32,648,8.34,1.95,4.3,0.95,43.7,84.05,,43.74,9.92,3.55,,1.18,,,,,2.6,0.36,SA1,Florianópolis dike swarm,HT,Paraná,16.8076923076923,-5395.65571874997,-3185.09382582634,16.8076923076923,,4.2,,-5395.65571874997,,,,
-27.65,-48.47,FL-56,55.05,14.09,15.56,0.22,2.69,7.23,3.21,1.54,1.79,0.19,0.58,,31,45,33,,,,57,172,,-3185.09382582634,184,11.1,287,4.6,0.97,5.83,1.7,23.6,46,,25,6.1,1.7,,1.26,,,,,3.6,0.7,SA4,Florianópolis dike swarm,LT,Paraná,6.55555555555556,-5395.65571874997,-3185.09382582634,,6.55555555555556,,1.79,-5395.65571874997,,,,
-27.65,-48.47,FL-60,51.36,13.29,14.96,0.19,4.2,8.08,2.57,2.05,4.37,0.44,1.62,,69,40.33,65,,,,123.4,675,,-3185.09382582634,323,30.73,614,8.37,2.19,4.73,1.05,48.81,106.47,,55.16,11.36,4.1,,1.53,,,,,2.3,0.47,SA1,Florianópolis dike swarm,HT,Paraná,21.2217391304348,-5395.65571874997,-3185.09382582634,21.2217391304348,,4.37,,-5395.65571874997,,,,
-27.72,-48.51,FL-61,53.02,14.35,12.93,0.15,3.89,7.3,3.07,1.96,3.92,0.72,1.4,,55,,54,,,,41.6,761,,-3193.84737467348,305,29.03,699,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5400.1084983817,-3193.84737467348,,,3.92,,-5400.1084983817,,,,
-27.72,-48.49,FL-63,53.78,14.65,12.31,0.16,3.93,6.07,4.07,2.48,3.23,0.56,1.79,,60,35.49,40,,,,80.7,529,,-3193.84737467348,284,29.88,722,7.56,2.16,6.5,1.73,50.09,104.12,,53.56,10.47,3.18,,1.37,,,,,2.5,0.38,SA1,Florianópolis dike swarm,HT,Paraná,20.036,-5397.88210856584,-3193.84737467348,20.036,,3.23,,-5397.88210856584,,,,
-27.72,-48.49,FL-64,52.86,14.53,12.4,0.14,3.94,7.18,3.11,2.27,4.04,0.78,1.51,,42,32.07,48,,,,45.7,789,,-3193.84737467348,320,29,704,7.77,2.22,4.5,1.02,52.5,96.6,,59.2,11.92,4,,1.38,,,,,2.6,0.37,SA1,Florianópolis dike swarm,HT,Paraná,20.1923076923077,-5397.88210856584,-3193.84737467348,20.1923076923077,,4.04,,-5397.88210856584,,,,
-27.72,-48.49,FL-65,50.57,13.72,14.43,0.18,4.85,9.21,2.86,1.41,3.86,0.36,1.73,,88,40.37,78,,,,57.7,615,,-3193.84737467348,281,26.47,480,7.06,1.81,3.67,0.88,38.3,85.11,,45.99,9.78,3.52,,1.42,,,,,2.11,0.35,SA1,Florianópolis dike swarm,HT,Paraná,18.1516587677725,-5397.88210856584,-3193.84737467348,18.1516587677725,,3.86,,-5397.88210856584,,,,
-27.72,-48.49,FL-94,54.63,14.82,11.47,0.15,3.87,6.07,3.87,2.6,2.9,0.79,1.87,,47,32.52,29,,,,92.3,636,,-3193.84737467348,289,29,700,7.63,2.17,6.5,2.1,51,104.58,,67,10.3,3.3,,1.19,,,,,2.7,0.4,SA2,Florianópolis dike swarm,HT,Paraná,18.8888888888889,-5397.88210856584,-3193.84737467348,18.8888888888889,,2.9,,-5397.88210856584,,,,
-27.72,-49.49,FL-95,53.23,14.11,13.05,0.16,3.74,7.14,3.2,2.06,4.12,0.51,0.71,,48,,50,,,,37.7,715,,-3193.84737467348,310,29.03,714,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5509.20159935911,-3193.84737467348,,,4.12,,-5509.20159935911,,,,
-27.73,-48.5,FL-66,53.32,13.91,12.95,0.15,4.64,7.67,3.53,1.4,3.26,0.48,2.34,,50,,48,,,,50.1,499,,-3195.09834487869,279,29.03,488,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5398.99530347377,-3195.09834487869,,,3.26,,-5398.99530347377,,,,
-27.73,-48.5,FL-67,54.4,14.69,11.9,0.15,4.16,5.91,3.73,2.62,3.04,0.6,1.95,,54,33,40,,,,99.7,509,,-3195.09834487869,280,29.03,857,6.9,2.2,6.5,1.71,46.8,94,,46,9.6,3.3,,1,,,,,2.6,0.41,SA2,Florianópolis dike swarm,HT,Paraná,18,-5398.99530347377,-3195.09834487869,18,,3.04,,-5398.99530347377,,,,
-27.73,-48.5,FL-68,54.92,14.49,11.37,0.15,4.37,5.87,4.02,2.39,2.85,0.72,1.86,,35,29.23,33,,,,80.3,551,,-3195.09834487869,244,26,763,7.45,2.16,7.6,2.05,52,114.87,,58.6,10.5,3.3,,1.39,,,,,2.6,0.41,SA1,Florianópolis dike swarm,HT,Paraná,20,-5398.99530347377,-3195.09834487869,20,,2.85,,-5398.99530347377,,,,
-27.73,-48.5,FL-70,54.31,14.67,11.58,0.14,4.4,7.15,3.18,1.78,3.37,0.59,1.53,,96,38.17,66,,,,45.9,783,,-3195.09834487869,277,25.61,707,7.71,1.91,4.44,0.94,43.65,97.2,,48.85,9.94,3.46,,1.4,,,,,2.18,0.35,SA1,Florianópolis dike swarm,HT,Paraná,20.0229357798165,-5398.99530347377,-3195.09834487869,20.0229357798165,,3.37,,-5398.99530347377,,,,
-27.73,-48.5,FL-71,53.71,14.03,12.57,0.19,4.7,6.14,3.78,2.52,3.19,0.45,2.13,,63,36.7,49,,,,150.2,368,,-3195.09834487869,304,29.88,716,7.74,2.24,6.19,1.81,52.83,89.27,,51.22,11.34,3.14,,1.48,,,,,2.24,0.34,SA1,Florianópolis dike swarm,HT,Paraná,23.5848214285714,-5398.99530347377,-3195.09834487869,23.5848214285714,,3.19,,-5398.99530347377,,,,
-27.75,-48.5,FL-72,50.75,13.21,16.49,0.16,5.13,7.45,3.6,1.3,3.23,0.34,2.24,,49,44.7,54,,,,34.3,454,,-3197.60063330583,244,17.93,428,5.98,1.2,2.93,0.65,27.55,63.67,,36.53,7.68,2.9,,1.25,,,,,2.28,0.35,SA1,Florianópolis dike swarm,HT,Paraná,12.0833333333333,-5398.99530347377,-3197.60063330583,12.0833333333333,,3.23,,-5398.99530347377,,,,
-27.75,-48.5,FL-74,53.81,14.51,12.37,0.14,4.15,6.84,3.13,1.9,3.73,0.67,1.61,,45,36,54,,,,49.3,711,,-3197.60063330583,311,28.17,647,7.9,2.15,4.38,1.06,41,102,,54,10.2,3.6,,1.51,,,,,2.8,0.34,SA1,Florianópolis dike swarm,HT,Paraná,14.6428571428571,-5398.99530347377,-3197.60063330583,14.6428571428571,,3.73,,-5398.99530347377,,,,
-27.77,-48.51,FL-75,54.18,14.18,12.16,0.14,4.47,7.16,3.03,1.83,3.48,0.6,1.28,,51,,52,,,,40.5,724,,-3200.10338615333,295,26.47,650,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5400.1084983817,-3200.10338615333,,,3.48,,-5400.1084983817,,,,
-27.77,-48.5,FL-76,54.15,14.12,12.32,0.15,4.36,7.19,3,1.73,3.57,0.65,1.28,,52,,61,,,,37.2,693,,-3200.10338615333,288,25.61,648,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5398.99530347377,-3200.10338615333,,,3.57,,-5398.99530347377,,,,
-27.8,-48.53,FL-77,53.87,14.47,12.27,0.14,3.75,6.82,3.13,2.19,3.84,0.76,1.38,,38,,46,,,,43.9,767,,-3203.85838725858,327,29.88,712,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5402.33488819757,-3203.85838725858,,,3.84,,-5402.33488819757,,,,
-27.79,-48.53,FL-78,53.25,14.14,13.19,0.15,3.98,7.32,2.88,1.86,3.91,0.66,1.39,,61,40.01,54,,,,40.7,748,,-3202.60660389924,305,29.88,671,9.57,2.08,5.02,1.07,48.54,110.16,,55.47,11.45,3.74,,1.61,,,,,2.4,0.41,SA1,Florianópolis dike swarm,HT,Paraná,20.225,-5402.33488819757,-3202.60660389924,20.225,,3.91,,-5402.33488819757,,,,
-27.77,-48.53,FL-79,53.7,14.35,12.94,0.15,3.6,6.92,2.96,2.11,3.8,0.77,1.55,,58,,54,,,,42.9,739,,-3200.10338615333,335,29.88,726,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5402.33488819757,-3200.10338615333,,,3.8,,-5402.33488819757,,,,
-27.76,-48.53,FL-80,53.61,14.3,12.29,0.14,4.81,7.27,2.96,1.74,3.49,0.63,1.66,,65,,70,,,,40.7,693,,-3198.85195164717,274,23.9,561,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5402.33488819757,-3198.85195164717,,,3.49,,-5402.33488819757,,,,
-27.47,-48.56,FL-83,64.52,13.1,9.59,0.14,1.41,3.77,3.89,2.96,1.17,0.42,1.43,,1,18.2,10,,,,121.6,135,,-3162.61064075539,292,18.78,562,8.2,1.8,12.1,2.94,44,90,,45,9,2.6,,1.74,,,,,4.9,0.9,SA2,Florianópolis dike swarm,ER,Paraná,8.97959183673469,-5405.67447292137,-3162.61064075539,,8.97959183673469,,1.17,-5405.67447292137,,,,
-27.71,-48.55,FL-82,53.43,14.16,12.68,0.14,4.44,6.99,2.96,1.91,3.91,0.66,1.73,,59,37.53,61,,,,42.5,731,,-3192.59652039427,289,26.47,691,8.28,2.08,4.41,0.91,44.84,101.49,,49.24,10.56,2.35,,1.45,,,,,2.42,0.38,SA1,Florianópolis dike swarm,HT,Paraná,18.5289256198347,-5404.56127801343,-3192.59652039427,18.5289256198347,,3.91,,-5404.56127801343,,,,
-27.72,-48.52,FL-81,56.06,14.21,14.46,0.2,3,6.89,3.25,1.41,1.68,0.31,1.33,,28,44,32,,,,58.9,164,,-3193.84737467348,189,11,310,4.9,0.99,5.4,1.67,21.8,50,,25,5.8,1.7,,1.16,,,,,3.8,0.63,SA4,Florianópolis dike swarm,LT,Paraná,5.73684210526316,-5401.22169328963,-3193.84737467348,,5.73684210526316,,1.68,-5401.22169328963,,,,
-27.79,-48.57,FL-84,52.74,14.46,12.46,0.14,5.01,7.59,2.83,1.75,3.64,0.64,1.71,,76,43,73,,,,37,701,,-3202.60660389924,262,23.05,546,7.9,1.85,3.88,0.91,43,85,,45,9.8,3.5,,1.42,,,,,2.7,0.42,SA1,Florianópolis dike swarm,HT,Paraná,15.9259259259259,-5406.7876678293,-3202.60660389924,15.9259259259259,,3.64,,-5406.7876678293,,,,
-27.79,-48.56,FL-85,52.96,14.43,11.93,0.14,5.31,8.15,2.84,1.42,3.49,0.54,1.56,,93,,86,,,,33.5,712,,-3202.60660389924,248,21.34,483,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5405.67447292137,-3202.60660389924,,,3.49,,-5405.67447292137,,,,
-27.81,-48.56,FL-86,51.9,14.18,13.63,0.17,4.26,7.24,2.89,2.06,4.37,0.68,1.14,,50,,58,,,,40.9,662,,-3205.11028702195,261,23.9,660,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5405.67447292137,-3205.11028702195,,,4.37,,-5405.67447292137,,,,
-27.83,-48.56,FL-87,52.09,14.47,12.47,0.15,4.96,8.2,2.89,1.6,3.81,0.62,1.25,,91,41.78,70,,,,36.3,716,,-3207.61443600025,255,22,522,7.68,1.75,4.2,1.16,42,74.53,,44,10.7,3.2,,1.4,,,,,2.8,0.36,SA1,Florianópolis dike swarm,HT,Paraná,15,-5405.67447292137,-3207.61443600025,15,,3.81,,-5405.67447292137,,,,
-27.83,-48.56,FL-89,53.57,14.25,12.72,0.16,4.26,7.51,3.19,1.68,3.51,0.43,1.16,,58,35.99,56,,,,34.4,633,,-3207.61443600025,290,26.47,574,8.43,1.85,4.58,1.11,41.5,92.48,,51.84,10.18,3.46,,1.29,,,,,2.51,0.38,SA1,Florianópolis dike swarm,HT,Paraná,16.5338645418327,-5405.67447292137,-3207.61443600025,16.5338645418327,,3.51,,-5405.67447292137,,,,
-27.65,-48.51,FL-90,52.96,14.37,12.24,0.14,4.94,7.94,2.99,1.4,3.67,0.58,1.53,,76,39.82,70,,,,30.9,660,,-3185.09382582634,254,23.05,458,7.54,1.82,4.01,0.88,39.73,91.01,,45.39,9.98,3.18,,1.4,,,,,2.46,0.38,SA1,Florianópolis dike swarm,HT,Paraná,16.150406504065,-5400.1084983817,-3185.09382582634,16.150406504065,,3.67,,-5400.1084983817,,,,
-27.59,-48.52,FL-92,52.76,14.55,13.38,0.2,3.95,7.1,3.14,1.88,3.86,0.53,1.81,,24,,23,,,,47.9,410,,-3177.5952895831,225,22.2,558,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5401.22169328963,-3177.5952895831,,,3.86,,-5401.22169328963,,,,
-27.53,-48.51,FL-93,52.69,13.97,14.89,0.21,3.68,7.03,2.93,1.94,3.53,0.64,1.53,,38,41.1,22,,,,46.8,386,,-3170.10089882822,247,23.05,670,6,1.7,4.3,1.02,34.8,69,,47,9.3,3.2,,1.25,,,,,3.3,0.53,SA1,Florianópolis dike swarm,HT,Paraná,10.5454545454545,-5400.1084983817,-3170.10089882822,10.5454545454545,,3.53,,-5400.1084983817,,,,
-27.6,-48.47,FL-96,53.08,14.21,12.32,0.15,5,7.82,2.93,1.61,3.54,0.59,1.47,,97,40.34,71,,,,32.9,710,,-3178.84475739622,250,23.05,542,6.84,1.76,3.9,0.89,38.77,78.55,,43.33,9.9,3.16,,1.33,,,,,1.98,0.33,SA1,Florianópolis dike swarm,HT,Paraná,19.5808080808081,-5395.65571874997,-3178.84475739622,19.5808080808081,,3.54,,-5395.65571874997,,,,
-27.6,-48.48,FL-97,53.79,14.29,12.17,0.14,4.39,7.6,2.92,1.77,3.48,0.68,1.53,,68,40.67,55,,,,35.9,714,,-3178.84475739622,269,23.9,571,8.04,1.87,4.28,0.89,39.91,86.37,,49.33,10.27,3.63,,1.48,,,,,2.7,0.41,SA1,Florianópolis dike swarm,HT,Paraná,14.7814814814815,-5396.7689136579,-3178.84475739622,14.7814814814815,,3.48,,-5396.7689136579,,,,
-27.6,-48.48,FL-98,52.73,14.26,12.39,0.15,4.8,8.14,2.83,1.51,3.9,0.55,1.45,,113,39.25,81,,,,25.6,706,,-3178.84475739622,248,23.05,481,8.16,1.74,3.41,0.75,36.57,84.78,,44.3,9.82,3.22,,1.38,,,,,2.5,0.37,SA1,Florianópolis dike swarm,HT,Paraná,14.628,-5396.7689136579,-3178.84475739622,14.628,,3.9,,-5396.7689136579,,,,
-27.61,-48.48,FL-99,52.98,14.47,12.86,0.14,3.9,6.88,3.17,2.09,4.02,0.79,1.71,,68,,57,,,,47.6,810,,-3180.09434042109,288,26.47,720,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5396.7689136579,-3180.09434042109,,,4.02,,-5396.7689136579,,,,
-27.62,-48.48,FL-100,53.67,14.36,12.38,0.14,3.98,6.99,3.09,2.04,3.9,0.7,1.55,,61,,51,,,,41.1,773,,-3181.34403871711,307,28.17,741,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5396.7689136579,-3181.34403871711,,,3.9,,-5396.7689136579,,,,
-27.63,-48.48,FL-103,53.02,14.62,12.29,0.14,5.29,7.53,3.07,1.69,3.15,0.44,1.94,,120,40,93,,,,88.7,642,,-3182.59385234369,245,22.2,585,6.1,1.7,4,0.85,42.3,81,,48,9.1,3.2,,1.15,,,,,2.4,0.4,SA1,Florianópolis dike swarm,HT,Paraná,17.625,-5396.7689136579,-3182.59385234369,17.625,,3.15,,-5396.7689136579,,,,
-27.63,-48.48,FL-104,52.86,14.16,12.91,0.15,4.37,7.43,3.05,1.68,4.05,0.64,1.49,,81,,68,,,,34.5,691,,-3182.59385234369,258,23.9,650,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5396.7689136579,-3182.59385234369,,,4.05,,-5396.7689136579,,,,
-27.4,-48.42,FL-106,53.42,13.8,13.22,0.13,4.11,7.52,3,1.54,4.09,0.5,1.69,,43,37.23,50,,,,31,742,,-3153.87721254455,344,28.17,605,9.29,2.17,4.9,1.09,48.77,108.31,,54.83,12,3.78,,1.51,,,,,2.9,0.38,SA1,Florianópolis dike swarm,HT,Paraná,16.8172413793103,-5390.08974421031,-3153.87721254455,16.8172413793103,,4.09,,-5390.08974421031,,,,
-27.39,-48.42,FL-107,53.15,14.24,12.51,0.14,4.82,7.86,2.82,1.59,3.51,0.62,1.65,,83,35.92,66,,,,34.4,686,,-3152.63003652968,256,22.2,479,8.19,1.71,4,0.95,43,75.76,,62,10.4,3.6,,1.24,,,,,3.2,0.4,SA1,Florianópolis dike swarm,HT,Paraná,13.4375,-5390.08974421031,-3152.63003652968,13.4375,,3.51,,-5390.08974421031,,,,
-27.39,-48.41,FL-109,53.24,14.62,12.56,0.15,4.13,7.27,3.05,1.88,3.75,0.62,1.66,,60,,60,,,,48.7,742,,-3152.63003652968,276,25.61,626,,,,,,,,,,,,,,,,,,,SA1,Florianópolis dike swarm,HT,Paraná,,-5388.97654930237,-3152.63003652968,,,3.75,,-5388.97654930237,,,,
-27.43,-48.43,FL-110,53.78,14.33,12.68,0.15,4.52,5.51,3.54,2.7,3.49,0.58,2.12,,29,37.45,55,,,,167,594,,-3157.6194249974,297,23.9,678,8.99,2.06,4.68,1.13,42.4,92.99,,45.53,10.51,3.48,,1.49,,,,,2.28,0.38,SA1,Florianópolis dike swarm,HT,Paraná,18.5964912280702,-5391.20293911824,-3157.6194249974,18.5964912280702,,3.49,,-5391.20293911824,,,,
-27.44,-48.42,FL-111,54.01,14.02,12.58,0.15,4.27,6.89,2.94,1.95,3.91,0.55,1.21,,83,40,65,,,,49.7,611,,-3158.86705748095,270,23.05,606,7.3,1.9,4.53,0.89,47,100,,52,9,3.5,,1.56,,,,,2.9,0.4,SA1,Florianópolis dike swarm,HT,Paraná,16.2068965517241,-5390.08974421031,-3158.86705748095,16.2068965517241,,3.91,,-5390.08974421031,,,,
-27.44,-48.42,FL-112,54.8,14.06,11.87,0.14,4.26,6.99,3.19,1.87,3.34,0.68,1.58,,65,35.13,54,,,,45.9,671,,-3158.86705748095,298,25,785,9.51,2.01,5.5,1.15,52,93.06,,58,12,3.9,,1.39,,,,,3.2,0.5,SA1,Florianópolis dike swarm,HT,Paraná,16.25,-5390.08974421031,-3158.86705748095,16.25,,3.34,,-5390.08974421031,,,,
-27.6,-48.43,FL-113,53.17,14.42,12.16,0.14,4.5,8.16,2.9,1.81,3.45,0.52,1.47,,97,33.82,79,,,,44.1,749,,-3178.84475739622,280,24.76,548,7.45,1.69,4,0.84,35.32,73.68,,52.57,8.94,3.49,,1.27,,,,,2.67,0.34,SA1,Florianópolis dike swarm,HT,Paraná,13.2284644194757,-5391.20293911824,-3178.84475739622,13.2284644194757,,3.45,,-5391.20293911824,,,,
