Latitude,Longitude,Sample,SiO2,Al2O3,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,V,Cr,Co,Ni,Cu,Pb,Zn,Rb,Sr,Cs,Y,Zr,Nb,Ba,Hf,Ta,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,SOM_Cluster,Plumbing_System,Geochemical_Group,Province,LaYb,Xwmerckm,Ywmerckm,LaYb10plus,LaYb10minus,HT,LT,X,S1,S2,S3,S4
-5.760933,-37.294182,CM37,50.6,12.49,14.8,0.17,4.08,7.19,2.84,1.87,3.44,0.49,1.54,365,50,37,33,194,2.7,85,42.6,537,0.7,-638.10143803514,285,23,518,6.7,1.5,4.2,1,39.6,82.5,10.55,45.5,9.63,3.01,9.14,1.37,7.23,1.42,3.7,0.53,3.23,0.47,SA1,EW-RCM dike swarm,HT,Equatorial,12.2600619195046,,,12.2600619195046,,3.44,,-4151.56934979167,,,,
-5.796617,-37.769578,CM38,49.9,12.52,14.88,0.21,4.3,7.7,2.67,1.63,3.67,0.44,1.36,406,68,41,34,221,2.4,90,34.9,545,0.4,-642.067594067344,264,22.7,459,6.8,1.3,3.8,0.8,36.5,79,9.72,44,9.07,2.79,8.45,1.29,7.44,1.41,3.7,0.49,2.97,0.45,SA1,EW-RCM dike swarm,HT,Equatorial,12.2895622895623,,,12.2895622895623,,3.67,,-4204.49019043683,,,,
-5.700037,-37.163564,DCO02,50.41,12.49,16.04,0.21,4.68,8.13,2.41,1.37,3.57,0.49,0.02,481,49,86,55,230,1.8,151,24.1,483,,-631.3336356485,279,24.2,437,7.5,2.4,3.5,0.8,33.2,74.1,9.9,43.6,9.89,3.03,9.53,1.41,7.93,1.5,3.94,0.52,3.16,0.44,SA1,EW-RCM dike swarm,HT,Equatorial,10.5063291139241,,,10.5063291139241,,3.57,,-4137.02902054323,,,,
-5.770036,-36.229894,DCO05,51.99,12.49,14.67,0.2,3.99,7.45,2.62,1.96,3.08,0.73,0.55,309,32,50,32,142,1.7,149,40.1,477,,-639.113181674419,341,29.9,557,9.3,2.9,4.7,1.1,44.6,102,13.2,55.6,12,3.66,11.6,1.69,9.3,1.78,4.68,0.61,3.65,0.52,SA1,EW-RCM dike swarm,HT,Equatorial,12.2191780821918,,,12.2191780821918,,3.08,,-4033.09335157428,,,,
-5.770087,-38.089953,DCO07,50.4,12.61,14.88,0.19,4.25,7.76,2.72,1.73,3.56,0.47,1.6,381,20,70,25,205,2.1,92,36.3,534,0.3,-639.118850063676,266,23,494,7,1.7,4,1,36,79.9,9.87,41.7,9.38,2.82,8.81,1.32,7.41,1.34,3.72,0.51,2.76,0.46,SA1,EW-RCM dike swarm,HT,Equatorial,13.0434782608696,,,13.0434782608696,,3.56,,-4240.15417229972,,,,
-5.900034,-38.599965,DCO17,50.6,12.52,14.92,0.2,4.13,7.46,2.92,1.74,3.52,0.49,1,392,20,115,25,208,1.5,78,37.9,559,0.7,-653.563485156889,290,24.3,534,6.8,1.7,4.4,0.9,39.1,86.2,10.74,43.3,10.3,3.09,9.41,1.43,8.18,1.46,3.86,0.55,3.21,0.52,SA1,EW-RCM dike swarm,HT,Equatorial,12.1806853582555,,,12.1806853582555,,3.52,,-4296.92844843818,,,,
-5.770067,-37.149889,DCO25,54.4,12.9,11,0.19,4,7.1,2.54,1.8,2.33,0.54,1.01,382,32,58,39,134,3.8,138,45.4,517,,-639.116627165865,280,23,561,7.9,2.2,4.2,1,35.8,81.2,10.5,43.9,9.73,3.12,9.33,1.36,7.61,1.47,3.91,0.52,3.24,0.47,SA1,EW-RCM dike swarm,HT,Equatorial,11.0493827160494,,,11.0493827160494,,2.33,,-4135.50672650664,,,,
-5.760016,-37.289942,DCO26,50.2,12.36,15.58,0.21,4.72,7.88,2.72,1.58,3.82,0.44,0.9,491,50,70,24,214,1.9,92,34.7,571,0.6,-637.999519918003,264,22.2,478,6.4,1.7,3.7,0.9,35.6,77.9,9.74,42.6,9.21,2.77,8.59,1.34,7.1,1.37,3.51,0.51,2.8,0.46,SA1,EW-RCM dike swarm,HT,Equatorial,12.7142857142857,,,12.7142857142857,,3.82,,-4151.09735515071,,,,
,,DCO29,49.7,12.89,15.1,0.2,4.96,6.67,3.48,1.94,3.19,0.43,1.93,447,7,70,38,202,3.9,103,55.3,739,1.3,,244,20.8,560,6.2,1.4,4,0.9,35.7,76.8,9.37,43.8,8.57,2.69,8,1.18,7.27,1.31,3.45,0.42,2.85,0.43,SA1,EW-RCM dike swarm,HT,Equatorial,12.5263157894737,,,12.5263157894737,,3.19,,,,,,
-6.671827,-39.941363,DCO60,53.9,16.12,10.37,0.16,2.86,7.07,3.87,2.08,2.33,0.66,1.61,209,14,65,7,52,1.4,67,48.2,908,0.7,-739.427682728122,297,26.5,699,7.7,1.8,5.1,1,48.6,106.9,12.73,52.4,11.01,3.54,9.8,1.45,7.51,1.5,3.72,0.52,3.45,0.45,SA1,EW-RCM dike swarm,HT,Equatorial,14.0869565217391,,,14.0869565217391,,2.33,,-4446.2521907493,,,,
-5.70625,-36.231555,DCO72,51.7,13.47,13.76,0.19,3.97,6.28,3.65,2.14,2.89,0.53,1.74,361,34,66,25,103,4.8,107,51.6,600,1.3,-632.024096744124,284,23.6,588,7.4,1.4,4.9,1,41.8,88.3,10.94,45,9.78,3.03,9.29,1.41,7.91,1.43,3.9,0.56,3.44,0.5,SA1,EW-RCM dike swarm,HT,Equatorial,12.1511627906977,,,12.1511627906977,,2.89,,-4033.27825324849,,,,
,,DCO83,51.3,12.43,15.58,0.2,4.4,7.6,2.59,1.72,3.48,0.45,0.3,464,65,58,47,200,1.7,143,41.1,499,,,307,25.9,498,7.89,2.3,3.7,0.9,33.9,75.9,9.91,43.4,9.44,3.02,9.41,1.38,7.68,1.49,3.93,0.54,3.25,0.45,SA1,EW-RCM dike swarm,HT,Equatorial,10.4307692307692,,,10.4307692307692,,3.48,,,,,,
-6.172366,-36.292516,DCO132,51.3,12.48,15.17,0.2,4.06,7.03,2.8,2.11,3.31,0.49,1.62,370,68,191,17,216,4.3,96,53.6,494,1.4,-683.846557313937,289,27.8,638,9,2.5,4.8,1.3,41,88.1,11.09,47.7,9.64,2.94,9.17,1.42,7.4,1.54,4.06,0.58,3.39,0.47,SA1,EW-RCM dike swarm,HT,Equatorial,12.094395280236,,,12.094395280236,,3.31,,-4040.06440072673,,,,
-6.152579,-36.439609,DCO133,51.5,12.8,14.76,0.21,3.81,7.17,2.93,2.02,3.17,0.53,1.43,349,6,126,17,216,4,94,50.6,564,1.3,-681.64573784721,294,27,609,8,2.3,5.3,1.3,45.4,94.9,11.46,50.5,10.37,3.05,9.75,1.41,8.21,1.6,4.12,0.62,3.64,0.54,SA1,EW-RCM dike swarm,HT,Equatorial,12.4725274725275,,,12.4725274725275,,3.17,,-4056.43871858599,,,,
-6.151453,-36.412165,DCO134,51.1,12.85,15.31,0.21,4.12,7.49,2.85,1.77,3.41,0.5,0.85,407,6,57,22,239,1.7,92,43.1,543,1,-681.520500404846,279,26.1,576,7.1,1.8,5.1,1.1,42.2,91.3,11.09,49.3,9.6,2.98,9.03,1.36,7.86,1.45,4.03,0.55,3.19,0.5,SA1,EW-RCM dike swarm,HT,Equatorial,13.2288401253919,,,13.2288401253919,,3.41,,-4053.38366648066,,,,
-6.14325,-36.570768,DCO138,51.6,12.69,15.15,0.22,3.88,7.23,2.9,1.97,3.32,0.53,0.69,367,20,48,14,240,1.9,84,48.3,551,1,-680.608143735255,304,27.9,608,8.6,1.8,5.4,1.2,46.8,99.2,12.1,50.9,10.6,3.03,10.06,1.51,8.76,1.55,4.28,0.57,3.56,0.54,SA1,EW-RCM dike swarm,HT,Equatorial,13.1460674157303,,,13.1460674157303,,3.32,,-4071.03927167894,,,,
