,PROFILE,X,Y,Z,S
953,AP,-6055.915018066436,-3273.8252491525955,-32.25420986092274,3.0
952,AP,-6113.21203152005,-3229.9854035076996,-33.329857881993576,3.0
926,AO,-6060.08002696935,-3207.5751792243823,-29.247110880114747,3.0
889,AN,-5982.081889337331,-3204.220077775659,-28.171462473838602,3.0
951,AP,-6155.077114621169,-3197.9530396821456,-41.816165206218955,3.0
950,AP,-6190.229421009931,-3171.0568439948606,-63.37960522199154,3.0
925,AO,-6109.1171633313925,-3170.0392901967207,-31.827997474904976,3.0
888,AN,-6029.625210336612,-3167.788802986455,-29.247111322622374,3.0
844,AM,-5964.626051279787,-3152.908970518596,-27.111108846234686,3.0
949,AP,-6220.221888327666,-3148.1086123425493,-83.16109298381991,3.0
924,AO,-6153.6540944232365,-3135.9481211946477,-39.140176469594394,3.0
887,AN,-6078.64301966642,-3130.227664140348,-31.827998115965443,3.0
739,AK,-5842.258940818694,-3122.795355855667,-47.03403095846721,3.0
843,AM,-6005.10492788739,-3121.9173306159,-30.090865574991483,3.0
669,AJ,-5784.097194050934,-3113.1915622308147,-32.28175373876962,3.0
590,AI,-5709.351970029153,-3107.7130913571605,-46.083531509866305,3.0
738,AK,-5862.34287099954,-3107.411919972467,-28.572959476522215,3.0
794,AL,-5943.387558342323,-3107.0374356927823,-35.89677106696189,3.0
108,AB,-6208.469194692249,-3105.840675679919,-193.208891079055,3.0
923,AO,-6193.61743444694,-3105.3578459952673,-52.66216451345662,3.0
922,AO,-6197.027976515239,-3102.7472178449066,-192.55343885729027,3.0
589,AI,-5722.449099065632,-3097.666176698934,-34.20630064189305,3.0
109,AB,-6175.886556168563,-3094.000377573544,-152.23253901450514,3.0
110,AB,-6175.679905615221,-3093.925282238535,-83.25242095596036,3.0
886,AN,-6126.940163063531,-3093.2187538317826,-43.24616841880737,3.0
842,AM,-6044.758888356967,-3091.5572671313807,-36.468648805121006,3.0
921,AO,-6212.139746088031,-3091.1797865514473,-219.19654795386322,3.0
668,AJ,-5813.885060392306,-3090.367853246267,-22.60122367470717,3.0
53,AA,-6312.80413096205,-3089.9904326583223,-285.36627823450397,3.0
54,AA,-6300.741379634039,-3085.5951418879545,-242.92933148860783,3.0
111,AB,-6152.03777596318,-3085.3339011953376,-51.571162663496466,3.0
55,AA,-6282.2530808723,-3078.858581819891,-232.63451930411492,3.0
588,AI,-5747.88296587631,-3078.1556497304787,-24.772022848718507,3.0
737,AK,-5905.803268791386,-3074.123104642542,-26.070556491674466,3.0
885,AN,-6154.441136906547,-3072.145435561468,-66.56856034504804,3.0
793,AL,-5990.346005114887,-3071.0493383086805,-41.591506449016094,3.0
112,AB,-6109.64943264109,-3069.9302800059713,-45.6581915439873,3.0
920,AO,-6242.363285233614,-3068.04492396453,-229.66348320848235,3.0
667,AJ,-5846.316160420101,-3065.518876800608,-14.36565370196439,3.0
841,AM,-6083.35698363206,-3062.005600436387,-43.24616758103383,3.0
884,AN,-6170.045565027018,-3060.188146991032,-94.46581974337118,3.0
883,AN,-6171.450184296892,-3059.1118218728143,-155.7144595171829,3.0
56,AA,-6215.970635381276,-3054.70732370454,-225.60730601586573,3.0
522,AH,-5704.55093653907,-3051.7156978901,-31.236993185411393,3.0
587,AI,-5782.360384178369,-3051.7077405473324,-14.33369361346314,3.0
113,AB,-6057.526908102838,-3050.989326892517,-41.55404363667577,3.0
882,AN,-6183.84029428598,-3049.6175860433964,-188.19901749328096,3.0
666,AJ,-5867.215602639953,-3049.5055517205647,-14.389678085016385,3.0
919,AO,-6271.075647165177,-3046.066804703483,-232.51810196327608,3.0
736,AK,-5943.113934332868,-3045.5447225256626,-43.08821098440981,3.0
57,AA,-6188.020356288052,-3044.5231127905363,-203.74774208176757,3.0
792,AL,-6029.472152189025,-3041.06377260229,-45.636834813103576,3.0
881,AN,-6196.9267194688755,-3039.5897810473252,-217.53203855143045,3.0
58,AA,-6172.526536718514,-3038.8776476474727,-153.38962504371776,3.0
59,AA,-6170.1456178758,-3038.0101149984266,-87.88076584699803,3.0
2265,Z,-6312.878965172955,-3037.8831891199743,-284.47784605259835,3.0
2266,Z,-6302.487208009903,-3034.0920888031246,-235.82187339049204,3.0
114,AB,-6008.873399486389,-3033.3089893863607,-39.01703787510996,3.0
521,AH,-5731.285065108757,-3031.2391901008173,-23.422337593861073,3.0
665,AJ,-5892.535963949544,-3030.104881954867,-16.605166467076685,3.0
840,AM,-6125.940381595677,-3029.402686370493,-49.69346514673566,3.0
60,AA,-6146.5108930727465,-3029.3983576171886,-64.29911112041378,3.0
918,AO,-6299.788009524642,-3024.0886851148944,-235.37272071806981,3.0
735,AK,-5975.769072613169,-3020.532276183304,-44.086898749417,3.0
2267,Z,-6263.135937489363,-3019.7360360395646,-229.08079008599609,3.0
61,AA,-6119.356156401534,-3019.504017576738,-46.81527753223389,3.0
115,AB,-5959.210579433624,-3015.2618753136153,-39.86531560381263,3.0
917,AO,-6312.633013704305,-3014.2563684827,-280.09508210796093,3.0
586,AI,-5831.472809340153,-3014.033198066714,-13.370080350558567,3.0
664,AJ,-5915.805652960235,-3012.275454225653,-24.840735918796156,3.0
791,AL,-6072.040001149046,-3008.440549325237,-44.57060757993344,3.0
520,AH,-5761.496090628758,-3008.09961785817,-15.413441921553726,3.0
2268,Z,-6220.232586886154,-3004.084120438221,-226.49573834859382,3.0
62,AA,-6074.860121722535,-3003.291048808293,-41.554043859628564,3.0
839,AM,-6160.64317225301,-3002.833362273472,-75.90321528277633,3.0
2199,Y,-6353.53457981126,-3002.2727875341993,-329.8862399186563,3.0
838,AM,-6162.718178813861,-3001.244685375321,-134.19871252665618,3.0
880,AN,-6247.365545699137,-3000.9397519829413,-229.83758664717297,3.0
116,AB,-5917.1440553747225,-2999.975200945782,-26.32041807562979,3.0
734,AK,-6004.830437558364,-2998.272507289112,-43.235528808477966,3.0
2269,Z,-6197.2940996873285,-2995.715746858754,-212.63206519135167,3.0
458,AG,-5700.501223417569,-2995.202743207754,-43.36044818901587,3.0
2200,Y,-6324.909819682541,-2991.8547639171607,-320.37795922138764,3.0
457,AG,-5707.70957740379,-2989.6639712109886,-31.56275621265695,3.0
2270,Z,-6175.960138620704,-2987.932733332714,-159.60865135134213,3.0
663,AJ,-5947.955190533741,-2987.6422132557764,-38.23236521256081,3.0
2201,Y,-6309.6795420500885,-2986.311681936545,-261.2123817604454,3.0
63,AA,-6027.309017553187,-2985.9649078978864,-35.54577894886995,3.0
117,AB,-5877.742302013041,-2985.6568852152423,-15.702456787196468,3.0
395,AF,-5633.587235015201,-2982.418830008311,-44.20662194016532,3.0
585,AI,-5874.742476630716,-2980.8406828714146,-15.917293308137687,3.0
2202,Y,-6292.807099664516,-2980.1709316748984,-239.2686084738072,3.0
837,AM,-6190.5475268259615,-2979.937840803556,-186.3131126008714,3.0
334,AE,-5555.655481811911,-2979.759178741546,-43.66166737300762,3.0
2271,Z,-6151.044669874621,-2978.843121251171,-141.18670400896158,3.0
519,AH,-5801.850147166791,-2977.1911799460736,-10.940646787610547,3.0
2272,Z,-6144.940499044832,-2976.616209709281,-76.73716358768576,3.0
456,AG,-5725.535055375851,-2975.967188504515,-24.558772712874998,3.0
274,AD,-5478.7177261672805,-2974.302581566467,-42.958501770664554,3.0
733,AK,-6037.347236291694,-2973.366023152944,-37.89289482132625,3.0
836,AM,-6203.032437193465,-2970.3790813034366,-223.53266059736922,3.0
790,AL,-6121.945395373321,-2970.193965147659,-39.72810371090429,3.0
64,AA,-5983.097584262126,-2969.8556390084846,-30.60862564971029,3.0
2273,Z,-6126.135942505162,-2969.755968545329,-39.70781897285474,3.0
118,AB,-5833.486887837617,-2969.574783813995,-16.05358105293726,3.0
273,AD,-5485.059803501848,-2969.441356030068,-33.2996345877645,3.0
333,AE,-5573.680578474827,-2965.9311021349463,-32.894235351335965,3.0
879,AN,-6293.272314015526,-2965.7625271684624,-245.45085613580522,3.0
394,AF,-5661.293062090031,-2961.198067849281,-30.293495998026543,3.0
662,AJ,-5982.605325044744,-2961.0929942787798,-29.29573706596875,3.0
789,AL,-6135.734911046011,-2959.625931768873,-58.14397500105383,3.0
2203,Y,-6232.392047025117,-2958.182784267145,-243.72941599672197,3.0
2148,X,-6367.662101740424,-2957.6676100564573,-330.8760231730443,3.0
2274,Z,-6089.992592477573,-2956.5702229980025,-30.89285563030984,3.0
455,AG,-5754.995467841797,-2953.330327455314,-19.93613180705205,3.0
2149,X,-6354.849002938046,-2953.0042638718837,-281.77640842349683,3.0
119,AB,-5786.407727058163,-2952.466553066461,-18.29380381647502,3.0
584,AI,-5911.886512247384,-2952.347189765912,-19.30557850231139,3.0
788,AL,-6145.857448248371,-2951.868203827464,-91.23942687647042,3.0
787,AL,-6146.754562643373,-2951.1806717127756,-143.07833248254641,3.0
272,AD,-5508.915402760253,-2951.1559517085284,-29.504745120278784,3.0
65,AA,-5929.085404364549,-2950.1752833967444,-26.320417861250576,3.0
878,AN,-6317.85720430005,-2946.9237318383775,-266.2362598560602,3.0
2204,Y,-6201.34992731105,-2946.884959067918,-229.8657426814137,3.0
202,AC,-5431.930607927702,-2945.053634799218,-40.37985066572594,3.0
518,AH,-5846.001618347613,-2943.374183024488,-13.21792279842282,3.0
2205,Y,-6189.726689728914,-2942.654664627279,-170.81054197256836,3.0
2150,X,-6322.876966565126,-2941.3679941347723,-261.2123818309413,3.0
732,AK,-6079.525438338594,-2941.059315202127,-26.29281776609696,3.0
2275,Z,-6046.621486788563,-2940.747661910417,-24.884591148865013,3.0
786,AL,-6160.477962926619,-2940.663307962938,-158.99120484994214,3.0
835,AM,-6244.341344419233,-2938.7519492087076,-246.66302468903507,3.0
66,AA,-5895.131823570104,-2937.8036563749547,-18.01662944806668,3.0
120,AB,-5743.538737508322,-2936.888268471117,-19.766502774975947,3.0
393,AF,-5694.254455404847,-2935.9519026265357,-16.520122985598135,3.0
2206,Y,-6167.214127847605,-2934.461184566491,-158.36244392220388,3.0
271,AD,-5531.939377103114,-2933.5079909347214,-22.657439196455442,3.0
661,AJ,-6020.096491905426,-2932.3669528727564,-25.587240347508043,3.0
2151,X,-6291.122960500834,-2929.8110768496745,-243.2277420310088,3.0
731,AK,-6095.266897188642,-2929.0020275723023,-33.813994452981206,3.0
332,AE,-5623.110299186515,-2928.0107526674014,-27.126574426053423,3.0
201,AC,-5454.654871411707,-2927.654934904716,-21.695707387389632,3.0
583,AI,-5944.160281935068,-2927.589717433749,-26.96145068878144,3.0
834,AM,-6262.135378399931,-2925.1283919422353,-237.43518560910348,3.0
2207,Y,-6139.702851505016,-2924.4484150137287,-145.49512374333472,3.0
2276,Z,-5997.408685819957,-2922.793945092581,-26.166464182553113,3.0
2208,Y,-6134.513629268571,-2922.5597899363397,-125.14210340876951,3.0
2093,W,-6412.259841885164,-2922.103647389812,-334.4455826057529,3.0
2209,Y,-6132.787254033476,-2921.93147312634,-89.66242195675403,3.0
67,AA,-5850.890270178784,-2921.6834126594067,-20.681926183152314,3.0
730,AK,-6105.977824583111,-2920.7979129722844,-58.14397508652905,3.0
785,AL,-6187.330641815737,-2920.0839044838126,-168.76272120791856,3.0
877,AN,-6353.018327222173,-2919.9806301755343,-271.7206657240561,3.0
454,AG,-5799.232458541871,-2919.339404454154,-23.46602487415879,3.0
270,AD,-5551.822428355359,-2918.2675592291494,-19.358176653264167,3.0
2210,Y,-6118.835787731079,-2916.8538164131623,-69.86675473342007,3.0
121,AB,-5687.532459027555,-2916.535986916053,-19.552724535067853,3.0
517,AH,-5883.166775293744,-2914.9082233537383,-19.30557850231139,3.0
2152,X,-6246.519568705102,-2913.5776066987146,-224.92353177528403,3.0
392,AF,-5724.085678733955,-2913.1032327972553,-19.936132111976036,3.0
2094,W,-6386.500564251581,-2912.7285203481265,-308.71160017798076,3.0
729,AK,-6119.624181165941,-2910.3453845258614,-89.18819674107729,3.0
784,AL,-6200.336668515812,-2910.1163227678007,-185.96503759848972,3.0
200,AC,-5479.544096202094,-2908.5986450038545,-15.322167738914942,3.0
2095,W,-6373.687465655353,-2908.0651742385808,-278.27676228188017,3.0
728,AK,-6123.614187652424,-2907.2892093447254,-134.76291754019775,3.0
68,AA,-5803.8258541317755,-2904.5346057380702,-21.765062715967133,3.0
2277,Z,-5945.908185867643,-2904.0056344513982,-26.320417895787102,3.0
2211,Y,-6083.492074285643,-2903.990419838567,-55.02000444753355,3.0
783,AL,-6208.521745044725,-2903.843429359603,-206.7907045634586,3.0
2153,X,-6211.75705836894,-2900.925739851931,-213.03942542341824,3.0
833,AM,-6294.097396653056,-2900.657471717187,-221.93913608716718,3.0
269,AD,-5575.5247144839805,-2900.099669983861,-21.325401299122774,3.0
122,AB,-5641.281267700817,-2899.7286343535684,-24.96453151618914,3.0
727,AK,-6133.755255176444,-2899.521583156114,-156.12932832281362,3.0
331,AE,-5660.624676840158,-2899.2313403987982,-22.180472894822003,3.0
660,AJ,-6064.298767349848,-2898.498804693337,-31.584133797489415,3.0
2212,Y,-6061.161665026639,-2895.8632344930024,-29.193010556757883,3.0
876,AN,-6385.574966441443,-2895.033280165464,-280.1880856088996,3.0
2154,X,-6194.5532342121205,-2894.6643827064686,-172.79010819599742,3.0
199,AC,-5502.577629497322,-2890.9631544808826,-9.764186443611266,3.0
582,AI,-5992.138939843958,-2890.7848970731775,-30.79112699974354,3.0
2096,W,-6325.272374051303,-2890.444430327228,-260.04583220476115,3.0
69,AA,-5760.970291470701,-2888.91937386425,-19.766502720782114,3.0
391,AF,-5757.290941540944,-2887.670280279648,-18.812069739318247,3.0
123,AB,-5607.880955420431,-2887.591199444535,-24.96453151618914,3.0
2097,W,-6316.538645175064,-2887.2657768367426,-237.39499991813247,3.0
832,AM,-6312.394158612677,-2886.649013341853,-227.93567301235836,3.0
659,AJ,-6080.437200406169,-2886.133404119731,-62.1566883503877,3.0
516,AH,-5921.673593220113,-2885.414643446899,-27.501324582315135,3.0
2155,X,-6168.320281629587,-2885.1168609693245,-155.39309401015765,3.0
453,AG,-5844.102439668943,-2884.862102779309,-29.16882621748016,3.0
268,AD,-5595.710946171919,-2884.626849362422,-22.45896834192874,3.0
2278,Z,-5890.259242313861,-2883.703896811761,-26.900952485861353,3.0
2098,W,-6302.176625106422,-2882.0386984755387,-215.53030767817094,3.0
2213,Y,-6022.461530002867,-2881.778263340503,-30.474883386331044,3.0
198,AC,-5518.374047465984,-2878.8687191281897,-9.043575005358633,3.0
2037,V,-6429.611613574101,-2877.6990920967764,-280.1804476132823,3.0
658,AJ,-6091.816631397413,-2877.4143901971674,-91.23942687647042,3.0
657,AJ,-6093.517134704473,-2876.11145053164,-133.84157513264668,3.0
875,AN,-6412.886445028141,-2874.1051674384103,-269.79468772548313,3.0
782,AL,-6247.454580438415,-2874.006014200336,-211.0103730454688,3.0
831,AM,-6328.942529680561,-2873.9791667430027,-256.20049708970834,3.0
124,AB,-5556.750520050604,-2869.0107644485356,-20.873494853871307,3.0
70,AA,-5704.981553969601,-2868.5188222411994,-19.55272417725098,3.0
330,AE,-5700.681187950276,-2868.5017130030465,-18.228127385825132,3.0
2099,W,-6264.2618274965835,-2868.23955203175,-210.92494930623263,3.0
267,AD,-5617.28514896891,-2868.0901437955354,-23.522340157246987,3.0
726,AK,-6177.653299250795,-2865.8975493970374,-157.7921928358395,3.0
390,AF,-5785.858648943443,-2865.7893769382727,-25.294500550973794,3.0
2156,X,-6114.766269108841,-2865.6257992200062,-158.36230739782107,3.0
2038,V,-6393.162337105383,-2864.3701539080425,-269.88524690171965,3.0
656,AJ,-6109.273008509433,-2864.039170013105,-156.66435660097974,3.0
2279,Z,-5834.020742287329,-2863.1870783445424,-29.760953477171768,3.0
2214,Y,-5968.517488587917,-2862.145250000573,-29.767153400784423,3.0
874,AN,-6429.099526123814,-2861.6814830982903,-284.3149374405577,3.0
581,AI,-6032.436856948678,-2859.8720357180114,-36.09514442533225,3.0
197,AC,-5545.157339852997,-2858.3622474110166,-13.589449832206213,3.0
2157,X,-6092.835287473613,-2857.6439861465265,-133.06037008765003,3.0
452,AG,-5880.581794479559,-2856.8320102961507,-31.122207590498704,3.0
2100,W,-6227.306909690442,-2854.789755256551,-204.87358592677643,3.0
125,AB,-5513.7775713359815,-2853.3947018352756,-16.327619879138183,3.0
2039,V,-6361.587217933345,-2852.8236198607287,-257.2486613051851,3.0
71,AA,-5658.744848108924,-2851.6716071245514,-24.964531765376023,3.0
2158,X,-6076.2273486684635,-2851.5995023526243,-82.7339381857318,3.0
266,AD,-5638.923316200643,-2851.50440925483,-24.105252605882526,3.0
515,AH,-5966.679335245312,-2850.9433336849506,-28.091756490028672,3.0
725,AK,-6202.779227010866,-2846.6521579212385,-177.37940682945745,3.0
389,AF,-5811.282987533153,-2846.316078386106,-32.55352121495761,3.0
2101,W,-6203.525863730217,-2846.1346085465902,-179.78939998976966,3.0
2040,V,-6342.350212459306,-2845.7889436821806,-232.91952405737234,3.0
2159,X,-6059.477525413587,-2845.503379504229,-38.10106070759366,3.0
2280,Z,-5779.486611053849,-2843.2920443330213,-29.539258295161005,3.0
329,AE,-5734.205609363301,-2842.7832230464846,-24.79008620452049,3.0
126,AB,-5482.239866185485,-2841.9341250529073,-32.52682763581345,3.0
2215,Y,-5912.043290797818,-2841.591382520641,-30.347687946362157,3.0
781,AL,-6290.412287089032,-2841.0840110977265,-211.54252850025748,3.0
830,AM,-6372.331189126599,-2840.7597243546306,-255.2997034308795,3.0
196,AC,-5568.423118585584,-2840.5489395225086,-18.590992608470458,3.0
72,AA,-5625.354996761666,-2839.5053855503943,-24.964531765376023,3.0
580,AI,-6059.870331325319,-2838.8275934533694,-39.621665950848694,3.0
724,AK,-6213.995289979649,-2838.061130966426,-198.20507424580578,3.0
2102,W,-6180.581522174583,-2837.783981637261,-156.55964275688513,3.0
2041,V,-6320.115084199864,-2837.6579002458857,-220.00578204674505,3.0
655,AJ,-6147.219994748924,-2834.963876037856,-156.98965018625765,3.0
265,AD,-5663.674523875392,-2832.532517797535,-25.229536726458633,3.0
579,AI,-6068.332769161688,-2832.3359882698414,-54.01588990562681,3.0
127,AB,-5453.8895387779385,-2831.6318185753435,-45.316004541448024,3.0
578,AI,-6070.868388525816,-2830.3908939452613,-102.82369000600369,3.0
2103,W,-6157.482185053986,-2829.3769438637332,-157.17015436769418,3.0
514,AH,-5997.570971842796,-2827.2824600655545,-30.42646593811247,3.0
829,AM,-6390.116884353218,-2827.142551446751,-258.29622214780017,3.0
73,AA,-5589.460905698297,-2826.4266970429717,-23.187667275318972,3.0
195,AC,-5587.958834305072,-2825.5915326403483,-22.23301460477765,3.0
2042,V,-6284.323020967396,-2824.5692948003903,-212.6032524531485,3.0
1989,U,-6422.844006128542,-2824.4340427028365,-272.0646188865409,3.0
451,AG,-5922.919804396307,-2824.3002306174735,-30.537821115805173,3.0
2160,X,-5995.66475243871,-2822.2786267750707,-28.495316410600253,3.0
2281,Z,-5720.167458900713,-2821.6513484435327,-31.10234454695376,3.0
2216,Y,-5854.169650169654,-2820.5281857582245,-31.4843215851252,3.0
723,AK,-6238.16822129136,-2819.5456942170294,-209.5794349336415,3.0
577,AI,-6085.46896460322,-2819.1906727821315,-125.1812982503177,3.0
388,AF,-5848.477358534178,-2817.827742754193,-32.39146876021317,3.0
128,AB,-5409.376892251916,-2815.4562407752624,-24.427224026071826,3.0
2104,W,-6117.161676343044,-2814.7022353207562,-158.362307887283,3.0
264,AD,-5687.508857142675,-2814.263413936183,-25.577849117028677,3.0
328,AE,-5771.5649862044165,-2814.1227207149427,-31.27251759411348,3.0
1990,U,-6390.36834843808,-2812.5848162482084,-252.83136799196848,3.0
194,AC,-5607.558540271859,-2810.585131998293,-24.105252605882526,3.0
828,AM,-6412.055823205559,-2810.3455513879267,-269.1114629358036,3.0
2043,V,-6242.660013053942,-2809.3337754420904,-203.7547168619865,3.0
654,AJ,-6181.473843738109,-2808.7182942976165,-160.52601071523432,3.0
780,AL,-6333.79082382801,-2807.839491488652,-212.4854451557455,3.0
513,AH,-6023.519946601227,-2807.4073262125894,-36.652357973343726,3.0
2105,W,-6096.326899107443,-2807.1193874533797,-140.05966133957367,3.0
576,AI,-6101.484402465871,-2806.905099587272,-152.54296196538294,3.0
129,AB,-5383.276722228455,-2805.9716254185223,-24.427224026071826,3.0
74,AA,-5530.193919098939,-2804.83165358197,-26.74139625543313,3.0
1991,U,-6362.793484755564,-2802.52371733702,-214.20285453277245,3.0
