,PROFILE,X,Y,Z,S
2301,AY,-6487.5073992483185,-3517.382987554621,-560.6091494962923,1.0
2290,AX,-6402.4134235740285,-3517.265341452132,-565.3687969801008,1.0
2289,AX,-6416.2553755740155,-3506.6921886124915,-507.6140647555724,1.0
1133,AV,-6253.640287668528,-3504.4452500541543,-550.6925149435285,1.0
1152,AW,-6336.833675977055,-3504.4393260453967,-561.0589656010395,1.0
2300,AY,-6508.610183436042,-3501.278231200832,-505.4242814994568,1.0
1151,AW,-6346.548774403165,-3497.0194737556176,-540.6854158789138,1.0
2288,AX,-6441.11135671246,-3487.70598727642,-487.44380637633026,1.0
1150,AW,-6368.531704160591,-3480.230133643706,-510.3900304742184,1.0
2299,AY,-6536.378433224348,-3480.0866721518623,-488.5043350092048,1.0
1132,AV,-6287.454212796081,-3478.6143763901036,-510.1771069996903,1.0
1115,AU,-6213.714074304519,-3472.637631645599,-522.4676008920826,1.0
1149,AW,-6387.374215500165,-3465.8392705998117,-486.6805983272847,1.0
2287,AX,-6480.151027580633,-3457.8855972838214,-484.71897177828816,1.0
1114,AU,-6241.232259378712,-3451.5839239380007,-511.3061023699771,1.0
2298,AY,-6576.557591770299,-3449.4236301036362,-483.77263123144246,1.0
1131,AV,-6327.413701271103,-3448.0888312312763,-511.14167424895413,1.0
1148,AW,-6418.592411190511,-3441.996547591137,-480.05552433972196,1.0
2286,AX,-6518.812721825706,-3428.353924128693,-484.71897177828816,1.0
1130,AV,-6359.869885574305,-3423.2951524971263,-510.12900768361305,1.0
2297,AY,-6619.2433806661265,-3416.847633314715,-482.46428154211804,1.0
1113,AU,-6297.309139823089,-3408.680431325872,-511.14167327348434,1.0
1147,AW,-6463.505703117564,-3407.6942711416496,-480.40914075131855,1.0
1129,AV,-6383.219738551797,-3405.4579123642375,-486.8370343165359,1.0
1086,AT,-6215.641663998978,-3405.183680025856,-518.1067197614251,1.0
2285,AX,-6568.252700221451,-3390.589275908036,-482.4642816751549,1.0
2296,AY,-6655.739360240679,-3388.9954383762397,-481.51083057477985,1.0
1146,AW,-6501.1907257967105,-3378.9125450538613,-480.40914075131855,1.0
1085,AT,-6250.070447119699,-3378.8089310027854,-510.21588220515093,1.0
1112,AU,-6357.543585296567,-3362.5960545579737,-507.8710121416966,1.0
2284,AX,-6610.000840294694,-3358.7000260561713,-479.61814892869785,1.0
1145,AW,-6537.9112481492375,-3350.86745071627,-483.07997181698636,1.0
1128,AV,-6454.981324782031,-3350.638353237262,-481.7263317159891,1.0
1084,AT,-6294.869793075541,-3344.4896376998527,-512.2318933544915,1.0
1054,AS,-6213.604810648443,-3342.9250456903096,-516.4592418117677,1.0
1111,AU,-6383.570246604196,-3342.683486984999,-490.2240214741771,1.0
2283,AX,-6651.939179708147,-3326.6654927432714,-480.9353394178379,1.0
1144,AW,-6578.68287158057,-3319.7283505027417,-482.08090971462616,1.0
1083,AT,-6337.766536064829,-3311.6278654355647,-512.2318933544915,1.0
1127,AV,-6509.337737994782,-3309.114820041012,-480.445592791418,1.0
1053,AS,-6264.081429880666,-3304.2994587995645,-512.2318933015872,1.0
1110,AU,-6438.25469514299,-3300.845320965588,-481.726331193375,1.0
1018,AR,-6190.638242126398,-3298.272640848963,-509.5398345459861,1.0
1082,AT,-6368.108133992363,-3288.384173449948,-514.2088670603991,1.0
1143,AW,-6621.60192467865,-3286.9491628468527,-483.39810068042226,1.0
1052,AS,-6301.762314110885,-3275.4653908668756,-527.0591951091446,1.0
1126,AV,-6554.154362503264,-3274.878848873487,-500.1907795778484,1.0
1017,AR,-6237.189768965352,-3262.6506029200236,-535.955576403175,1.0
1109,AU,-6491.68375216281,-3259.9676342084467,-516.5734798944269,1.0
1142,AW,-6658.228054879694,-3258.976159988997,-483.7933931473532,1.0
1081,AT,-6413.246621326627,-3253.8050751835967,-526.4253607619024,1.0
1051,AS,-6334.733087968301,-3250.2355813064178,-538.9210366599386,1.0
709,AK,-5700.11364658552,-3231.6726025023536,-145.16774095637913,1.0
1108,AU,-6532.8884148620455,-3228.442629113782,-526.1576994103348,1.0
1080,AT,-6455.399399862236,-3221.513229415957,-529.6561223346392,1.0
1050,AS,-6373.348271793334,-3220.6865710750885,-564.3173544664012,1.0
1016,AR,-6296.851169100515,-3216.996661947029,-540.8980101644477,1.0
1107,AU,-6550.979969205147,-3214.601080476441,-512.2900367775843,1.0
708,AK,-5739.738698858594,-3201.321498633616,-146.5352283850088,1.0
636,AJ,-5674.327103713929,-3197.2983112120173,-180.41435837772164,1.0
635,AJ,-5682.752908805775,-3190.8423898253377,-161.1505368227695,1.0
1106,AU,-6584.259255928318,-3189.1396492992776,-467.4135323192182,1.0
1015,AR,-6334.681334530081,-3188.048361444405,-572.2252484844373,1.0
1079,AT,-6500.911798836462,-3186.6476898418714,-528.3381403888086,1.0
1049,AS,-6423.374184969898,-3182.4058722965,-592.7689570143355,1.0
634,AJ,-5703.661387311239,-3174.822141068695,-148.57008188720704,1.0
1105,AU,-6606.918584258171,-3171.803372425604,-459.5617805681481,1.0
1048,AS,-6437.760535096268,-3171.3971869824095,-575.7855061934556,1.0
707,AK,-5779.363751131668,-3170.9703947648786,-148.5864581377603,1.0
1078,AT,-6535.438444423607,-3160.197971628584,-525.37267956756,1.0
1047,AS,-6453.460903421542,-3159.3829920900257,-557.992743605395,1.0
1014,AR,-6381.567174124777,-3152.170501580638,-584.8610624725596,1.0
826,AM,-5967.848752749331,-3150.441589705977,-161.47863222595356,1.0
1046,AS,-6465.236180185415,-3150.372345522888,-572.8200454129525,1.0
770,AL,-5887.346671278651,-3149.9861497102397,-199.95195838402185,1.0
633,AJ,-5738.901408594955,-3147.820945979012,-162.18160853171383,1.0
1104,AU,-6638.805194490771,-3147.407454969082,-457.61145388726607,1.0
1077,AT,-6552.258271521008,-3147.3128598675917,-496.8494786813234,1.0
1045,AS,-6471.516327349151,-3145.5666676932465,-533.2805742752923,1.0
981,AQ,-6305.456960856305,-3144.482969328453,-537.3870432849287,1.0
706,AK,-5814.837000525297,-3143.7993952293327,-164.18540029746552,1.0
76,AB,-6312.739683104741,-3143.731826379816,-274.5858451845743,1.0
10,AA,-6449.797760051066,-3139.9066430784023,-548.7342542585548,1.0
77,AB,-6299.879164213153,-3139.058405675462,-251.49520815786025,1.0
11,AA,-6437.514835476792,-3135.4311280365673,-573.0717995513672,1.0
873,AN,-6073.565180907054,-3134.1186867969386,-227.31773179604647,1.0
1076,AT,-6569.714112584897,-3133.940518898341,-471.5542034869229,1.0
705,AK,-5831.243951455304,-3131.2323689850723,-197.3711901522609,1.0
632,AJ,-5760.840309856886,-3131.011178803857,-195.82841192231345,1.0
12,AA,-6423.934323895433,-3130.4828127155174,-596.0202847403227,1.0
558,AI,-5683.385571415094,-3127.632127821588,-201.32826532294004,1.0
980,AQ,-6327.980049511621,-3127.259430944976,-557.9228943888301,1.0
825,AM,-6000.620844183139,-3125.3504572019674,-190.40265637814164,1.0
1013,AR,-6417.93404015609,-3124.3419432262417,-598.5207020190493,1.0
769,AL,-5922.45001192238,-3123.0835895017985,-199.95195838402185,1.0
1044,AS,-6506.057137581567,-3119.1354389936578,-520.4302459722439,1.0
494,AH,-5618.682476287853,-3117.485045508985,-195.35202315135058,1.0
13,AA,-6387.27995409588,-3117.1271023230215,-582.8245376244581,1.0
78,AB,-6238.6403052366195,-3116.804641743811,-244.45169553682982,1.0
1103,AU,-6680.039885820775,-3115.859475466281,-459.0467617512365,1.0
631,AJ,-5785.52058129057,-3112.100951182764,-198.57313333963214,1.0
979,AQ,-6347.888726047407,-3112.0351488881984,-575.3577504310288,1.0
1011,AR,-6435.2044452722985,-3111.126328876448,-572.8200454129525,1.0
1012,AR,-6435.2044452722985,-3111.126328876448,-572.8200454129525,1.0
1075,AT,-6601.585597437784,-3109.52483127325,-463.0625548596325,1.0
704,AK,-5860.262512678145,-3109.0053859207687,-200.76589962754687,1.0
1043,AS,-6521.575500686052,-3107.2605176615307,-496.8494788391308,1.0
1010,AR,-6445.409684829303,-3103.317102085,-538.223008036565,1.0
14,AA,-6349.241564391855,-3103.267098196309,-569.946644222614,1.0
79,AB,-6198.296318473423,-3102.143925125399,-212.566844164661,1.0
493,AH,-5643.208091935242,-3098.700107053571,-195.35202315135058,1.0
557,AI,-5722.633250649916,-3097.5249125145224,-200.64826638870426,1.0
1009,AR,-6454.829905574908,-3096.108585340538,-505.6029441646865,1.0
15,AA,-6329.350677829539,-3096.019478831168,-533.250023767765,1.0
2220,Z,-6470.0791835512755,-3095.232662202533,-484.36884314988976,1.0
703,AK,-5878.720125817095,-3094.867639686679,-200.78992401595795,1.0
824,AM,-6041.10139211347,-3094.357537692807,-199.83603434239535,1.0
872,AN,-6126.342141189976,-3093.677003250366,-229.3168746122106,1.0
630,AJ,-5810.177935076093,-3093.208283252796,-200.57004881210662,1.0
16,AA,-6317.041919306693,-3091.5345507033267,-485.2466709634542,1.0
17,AA,-6317.019109021106,-3091.52623934591,-436.68492485997047,1.0
916,AO,-6213.485545626518,-3090.149632960153,-340.51899256392176,1.0
1042,AS,-6545.580323575825,-3088.8916097110955,-474.8491593368259,1.0
768,AL,-5968.9690861088075,-3087.43221925636,-201.5353163238984,1.0
2221,Z,-6447.644631431146,-3087.048133222833,-508.9340409446235,1.0
430,AG,-5582.382390108567,-3085.9631702723914,-201.3002525067442,1.0
978,AQ,-6382.0987531275405,-3085.8745399445665,-575.4652281044671,1.0
18,AA,-6299.58271676156,-3085.1729612352256,-413.28124362505486,1.0
1008,AR,-6472.703323865793,-3082.431534822295,-477.07974327030075,1.0
915,AO,-6224.384294481818,-3081.8070938576957,-379.4621539462375,1.0
2222,Z,-6431.1164612911225,-3081.0183588476593,-551.3331112515884,1.0
19,AA,-6287.796253529297,-3080.8783412392263,-412.1835746096482,1.0
80,AB,-6137.847377486974,-3080.1772117490736,-200.21018202094572,1.0
1074,AT,-6641.93527223547,-3078.6142834847915,-460.1369821411323,1.0
948,AP,-6311.578665345794,-3078.208511766936,-431.92442393821415,1.0
492,AH,-5670.350799676668,-3077.9106556584834,-195.35202315135058,1.0
556,AI,-5752.827127332456,-3074.362943094693,-202.51232874227787,1.0
2223,Z,-6411.917024767833,-3074.0140583482616,-574.4360174602575,1.0
629,AJ,-5838.55818435526,-3071.463102076223,-200.76589989681932,1.0
1102,AU,-6738.914420040979,-3070.8155442785514,-459.06017000886607,1.0
914,AO,-6240.558161743169,-3069.4266709433564,-420.6524974429692,1.0
702,AK,-5914.414449785393,-3067.5273064343664,-201.53531676508965,1.0
1041,AS,-6574.848155376193,-3066.4953558116836,-468.00498883653216,1.0
20,AA,-6243.999755647206,-3064.9202618855907,-424.66298834618203,1.0
2224,Z,-6383.45328681774,-3063.6299737061563,-555.5663239231291,1.0
429,AG,-5612.185993764212,-3063.0626071693405,-201.3002525067442,1.0
947,AP,-6334.222954376215,-3060.8826150753794,-450.556436296761,1.0
871,AN,-6171.217601342384,-3059.290044456952,-240.82387739646197,1.0
977,AQ,-6417.588133711349,-3058.7356018510663,-560.2097294150915,1.0
81,AB,-6078.818215101697,-3058.7264357751383,-201.08201239542626,1.0
2225,Z,-6369.757080754538,-3058.633350870274,-542.2377238302818,1.0
823,AM,-6088.805817199063,-3057.83383723665,-202.83705845826915,1.0
491,AH,-5697.496041341175,-3057.1192634522135,-195.33605118296066,1.0
1007,AR,-6506.913386312572,-3056.2534000804126,-467.9297515473046,1.0
2226,Z,-6363.07901612224,-3056.197072525216,-496.0319114129436,1.0
21,AA,-6218.103002714965,-3055.48429192729,-413.2785676292107,1.0
2227,Z,-6357.235709376589,-3054.065328903102,-471.1518584888204,1.0
1073,AT,-6674.977125383227,-3053.3020155207,-459.9490236914366,1.0
22,AA,-6208.823891912795,-3052.103273040555,-375.2180200927964,1.0
23,AA,-6207.697945867639,-3051.6930133804126,-333.27541984572065,1.0
24,AA,-6205.362822136052,-3050.8421670431203,-290.7758019378942,1.0
767,AL,-6018.966705666819,-3049.1149552646084,-203.64972410718133,1.0
2167,Y,-6482.237852635515,-3049.114533276129,-466.5973767696398,1.0
628,AJ,-5868.4399484117075,-3048.56744788759,-200.78992375884806,1.0
2228,Z,-6340.54054702628,-3047.9746327597054,-446.27180556469716,1.0
976,AQ,-6431.712106928031,-3047.9349164500736,-491.2988982653318,1.0
25,AA,-6190.152901214872,-3045.30014572269,-263.9644915639724,1.0
555,AI,-5794.6207559515615,-3042.3027092202137,-201.38191613125997,1.0
2229,Z,-6319.7293243083395,-3040.38232360524,-431.8558238844688,1.0
428,AG,-5642.433846326302,-3039.820691046264,-201.3002525067442,1.0
1040,AS,-6609.980926585695,-3039.611148277456,-465.07941606435156,1.0
490,AH,-5722.4354545693095,-3038.0173844478204,-197.200113015511,1.0
82,AB,-6020.681796900424,-3037.600076660926,-200.0828804110138,1.0
26,AA,-6167.115078627431,-3036.905880912405,-242.0720959067274,1.0
946,AP,-6366.477011524253,-3036.2039660226437,-441.4205321216622,1.0
913,AO,-6287.904108076146,-3033.1853175669407,-425.22039959610584,1.0
975,AQ,-6451.664596622292,-3032.677130213286,-475.9530824447529,1.0
1101,AU,-6789.665929904789,-3031.986404511118,-437.77360860149395,1.0
701,AK,-5961.045489753511,-3031.8099141183607,-207.9033042723355,1.0
2168,Y,-6433.856494294843,-3031.5060666356767,-466.28252137223643,1.0
1006,AR,-6539.321291694807,-3031.4543072661795,-465.0395285797686,1.0
627,AJ,-5892.703565975816,-3029.9764638993734,-206.33360459503245,1.0
2230,Z,-6279.237094263564,-3025.610028242285,-426.5638947708577,1.0
27,AA,-6131.836609825768,-3024.0515059775107,-232.13623111378394,1.0
822,AM,-6133.038427338128,-3023.9682450989285,-209.63854587291797,1.0
870,AN,-6217.856420663485,-3023.5518670049246,-261.68365481624994,1.0
2169,Y,-6407.303819001278,-3021.8421813468567,-443.81573938043664,1.0
83,AB,-5968.01285576207,-3018.4605596579704,-200.3088260495823,1.0
367,AF,-5586.603541748399,-3018.4051146795755,-201.30025272086417,1.0
626,AJ,-5908.223800715115,-3018.084731977317,-215.90045154942487,1.0
427,AG,-5671.899924661146,-3017.179476443388,-201.28428053835427,1.0
1072,AT,-6725.880116743784,-3014.3069218820215,-460.15039065202984,1.0
1039,AS,-6644.34469909679,-3013.3153919211395,-459.9490236810886,1.0
2231,Z,-6236.730110953779,-3010.1027145738108,-424.20768415892843,1.0
2170,Y,-6369.307064269802,-3008.0132064879144,-424.94604550492767,1.0
489,AH,-5762.671358981278,-3007.1994429558113,-201.38191613125997,1.0
554,AI,-5840.774116083116,-3006.898089693249,-200.69697893845628,1.0
28,AA,-6084.543008571633,-3006.8191911069352,-229.8616308551245,1.0
766,AL,-6074.874840885825,-3006.2679798403556,-210.65312093475947,1.0
2117,X,-6498.225569761954,-3005.186376580758,-466.5973768930401,1.0
84,AB,-5930.52142254837,-3004.836440624063,-203.6739272366423,1.0
2232,Z,-6214.798401667024,-3002.1016317230965,-399.3418455730884,1.0
945,AP,-6411.492333565239,-3001.761249884746,-421.5594757440723,1.0
2233,Z,-6210.685098902081,-3000.601024735193,-349.4271841904619,1.0
1005,AR,-6579.949191672579,-3000.3651316310156,-461.12546853159387,1.0
974,AQ,-6494.554939342442,-2999.878632839054,-468.3386265888073,1.0
2234,Z,-6208.174347056249,-2999.6850572073804,-308.04457068498704,1.0
2235,Z,-6206.937968322401,-2999.2340039604564,-263.9644910408796,1.0
426,AG,-5696.8098652114,-2998.039117711758,-203.1483423709046,1.0
366,AF,-5613.746314224398,-2997.615613702247,-201.30025272086417,1.0
700,AK,-6005.708999852162,-2997.5995659576915,-214.90670080071632,1.0
821,AM,-6167.797870187352,-2997.355546667492,-220.09052585838725,1.0
869,AN,-6253.002929220589,-2996.6199639697043,-440.7473604211839,1.0
2171,Y,-6337.635149864252,-2996.486166582948,-422.0815176685298,1.0
1071,AT,-6754.1056835785475,-2992.68425114485,-453.0366915164898,1.0
85,AB,-5896.036218971388,-2992.3047639670704,-209.46789743690837,1.0
2118,X,-6462.509796586017,-2992.187568319152,-456.84767453822093,1.0
1100,AU,-6842.685266720977,-2991.4221878969356,-432.726179190373,1.0
2236,Z,-6183.903473454373,-2990.8306050527967,-242.07209564013633,1.0
912,AO,-6344.098130614218,-2990.1711297392917,-426.1974636474629,1.0
29,AA,-6037.258605522163,-2989.59022777557,-232.41868488520947,1.0
553,AI,-5863.429423679969,-2989.519018192351,-208.65827027751024,1.0
305,AE,-5546.04510527077,-2987.1318450586464,-211.66260612853947,1.0
625,AJ,-5949.707907764658,-2986.2992668509487,-221.30441895329167,1.0
488,AH,-5790.927412795294,-2985.5572448752228,-219.95375990593968,1.0
234,AD,-5469.244962016925,-2981.5634900289024,-226.2050737201946,1.0
2172,Y,-6296.2966278464655,-2981.440950597272,-420.34388193020624,1.0
944,AP,-6438.36403996612,-2981.20081593153,-439.99369312710587,1.0
425,AG,-5721.276059239385,-2979.239725977019,-221.20934731590532,1.0
86,AB,-5856.935220904779,-2978.0957405625086,-219.67955678395379,1.0
1038,AS,-6691.343480155344,-2977.351107285029,-455.20795627569623,1.0
2237,Z,-6145.738247081633,-2976.907242571927,-239.83194694616526,1.0
365,AF,-5642.356263154849,-2975.7023562493896,-192.0598016850056,1.0
304,AE,-5562.961851313216,-2974.154047236868,-195.31061326377286,1.0
2119,X,-6411.892509853769,-2973.7653322467568,-428.98955169982924,1.0
30,AA,-5993.573276360029,-2973.672654840039,-231.41955328325776,1.0
820,AM,-6198.880135140461,-2973.5581875627677,-233.45539822555793,1.0
1004,AR,-6615.09798257914,-2973.4686655459946,-456.983563424325,1.0
552,AI,-5885.709034876287,-2972.4281464689066,-219.99075933152358,1.0
2173,Y,-6264.632665900043,-2969.91680500152,-408.21336421318364,1.0
1070,AT,-6783.865409417166,-2969.8863120705355,-439.2577182247475,1.0
233,AD,-5484.770798682512,-2969.662879284009,-199.73869002094614,1.0
765,AL,-6124.702953198397,-2968.080623110777,-226.31846504527525,1.0
973,AQ,-6536.258421941175,-2967.987734381199,-462.97228703083624,1.0
699,AK,-6044.992421384533,-2967.5101366988542,-224.6714052219218,1.0
87,AB,-5823.410339891576,-2965.913038265746,-235.71562362963616,1.0
487,AH,-5817.285745598654,-2965.368570853041,-235.88337431412072,1.0
