,X,Y,Z
0,-6487.5073992483185,-3517.382987554621,-560.6091494962923
1,-6402.4134235740285,-3517.265341452132,-565.3687969801008
2,-6416.2553755740155,-3506.6921886124915,-507.6140647555724
3,-6253.640287668528,-3504.4452500541543,-550.6925149435285
4,-6336.833675977055,-3504.4393260453967,-561.0589656010395
5,-6508.610183436042,-3501.278231200832,-505.4242814994568
6,-6346.548774403165,-3497.0194737556176,-540.6854158789138
7,-6441.11135671246,-3487.70598727642,-487.44380637633026
8,-6368.531704160591,-3480.230133643706,-510.3900304742184
9,-6536.378433224348,-3480.0866721518623,-488.5043350092048
10,-6287.454212796081,-3478.6143763901036,-510.1771069996903
11,-6213.714074304519,-3472.637631645599,-522.4676008920826
12,-6387.374215500165,-3465.8392705998117,-486.6805983272847
13,-6480.151027580633,-3457.8855972838214,-484.71897177828816
14,-6241.232259378712,-3451.5839239380007,-511.3061023699771
15,-6576.557591770299,-3449.4236301036362,-483.77263123144246
16,-6327.413701271103,-3448.0888312312763,-511.14167424895413
17,-6418.592411190511,-3441.996547591137,-480.05552433972196
18,-6518.812721825706,-3428.353924128693,-484.71897177828816
19,-6359.869885574305,-3423.2951524971263,-510.12900768361305
20,-6619.2433806661265,-3416.847633314715,-482.46428154211804
21,-6297.309139823089,-3408.680431325872,-511.14167327348434
22,-6463.505703117564,-3407.6942711416496,-480.40914075131855
23,-6383.219738551797,-3405.4579123642375,-486.8370343165359
24,-6215.641663998978,-3405.183680025856,-518.1067197614251
25,-6568.252700221451,-3390.589275908036,-482.4642816751549
26,-6655.739360240679,-3388.9954383762397,-481.51083057477985
27,-6501.1907257967105,-3378.9125450538613,-480.40914075131855
28,-6250.070447119699,-3378.8089310027854,-510.21588220515093
29,-6357.543585296567,-3362.5960545579737,-507.8710121416966
30,-6610.000840294694,-3358.7000260561713,-479.61814892869785
31,-6537.9112481492375,-3350.86745071627,-483.07997181698636
32,-6454.981324782031,-3350.638353237262,-481.7263317159891
33,-6294.869793075541,-3344.4896376998527,-512.2318933544915
34,-6213.604810648443,-3342.9250456903096,-516.4592418117677
35,-6383.570246604196,-3342.683486984999,-490.2240214741771
36,-6651.939179708147,-3326.6654927432714,-480.9353394178379
37,-6578.68287158057,-3319.7283505027417,-482.08090971462616
38,-6337.766536064829,-3311.6278654355647,-512.2318933544915
39,-6509.337737994782,-3309.114820041012,-480.445592791418
40,-6264.081429880666,-3304.2994587995645,-512.2318933015872
41,-6438.25469514299,-3300.845320965588,-481.726331193375
42,-6190.638242126398,-3298.272640848963,-509.5398345459861
43,-6368.108133992363,-3288.384173449948,-514.2088670603991
44,-6621.60192467865,-3286.9491628468527,-483.39810068042226
45,-6301.762314110885,-3275.4653908668756,-527.0591951091446
46,-6554.154362503264,-3274.878848873487,-500.1907795778484
47,-6237.189768965352,-3262.6506029200236,-535.955576403175
48,-6491.68375216281,-3259.9676342084467,-516.5734798944269
49,-6658.228054879694,-3258.976159988997,-483.7933931473532
50,-6413.246621326627,-3253.8050751835967,-526.4253607619024
51,-6334.733087968301,-3250.2355813064178,-538.9210366599386
52,-5700.11364658552,-3231.6726025023536,-145.16774095637913
53,-6532.8884148620455,-3228.442629113782,-526.1576994103348
54,-6455.399399862236,-3221.513229415957,-529.6561223346392
55,-6373.348271793334,-3220.6865710750885,-564.3173544664012
